challenge_whiteRiverCitizen1_hint1,Challenges,Challenge,,,[FFB400]Follow the on-screen navigation icon and head towards the trader.[-],,[FFB400]Folge dem Navigations-Symbol auf dem Bildschirm und gehe zum Händler.[-],[FFB400]Sigue el ícono de navegación que aparece en la pantalla para dirigirte al vendedor.[-],[FFB400]Suivez l'icône de navigation sur l'écran et dirigez-vous vers le marchand.[-],[FFB400]Segui l'icona di navigazione sullo schermo e raggiungi il negoziante.[-],[FFB400]スクリーン上のナビアイコンを頼りにトレーダーへと移動します。[-],[FFB400]화면의 내비게이션 아이콘을 따라 상인이 있는 곳으로 향하세요.[-],[FFB400]Podążaj za ikoną nawigującą na ekranie i skieruj się do handlarza.[-],[FFB400]Siga o ícone de navegação da tela e vá para o comerciante.[-],"[FFB400]Пройдите по указателям на экране, чтобы добраться до торговца.[-]",[FFB400]Ekrandaki gezinme simgesini takip et ve tüccara doğru ilerle.[-],[FFB400]跟随屏幕上的引导图标前往商人处。[-],[FFB400]跟隨螢幕導航圖示前往商人所在地。[-]
challenge_whiteRiverCitizen1_hint2,Challenges,Challenge,,,[FFB400]Follow the navigation icon to find the trader inside.\nCheck the trader's inventory to complete this quest.[-],,"[FFB400]Folge dem Navigations-Symbol, um den Händler im Inneren zu finden.\nÜberprüfe sein Inventar, um diese Quest abzuschließen.[-]",[FFB400]Sigue el ícono de navegación para encontrar al vendedor dentro.\nEcha un vistazo al inventario del vendedor para completar esta misión.[-],[FFB400]Suivez l'icône de navigation pour trouver le marchand à l'intérieur.\nConsultez l'inventaire du marchand pour effectuer cette quête.[-],[FFB400]Segui l'icona di navigazione per trovare il negoziante all'interno.\nControlla l'inventario del negoziante per completare questa missione.[-],[FFB400]ナビアイコンを頼りに、中にいるトレーダーを見つける。\nトレーダーの品ぞろえを見せてもらうとクエストが完了します。[-],[FFB400]내비게이션 아이콘을 따라 안에 있는 상인을 찾으세요.\n상인 인벤토리를 확인하여 이 퀘스트를 완료하세요.[-],"[FFB400]Podążaj za ikoną nawigującą, aby odnaleźć w środku handlarza.\nPrzejrzyj ekwipunek handlarza, aby ukończyć to zadanie.[-]",[FFB400]Siga o ícone de navegação para encontrar o comerciante lá dentro.\nVerifique o inventário do comerciante para concluir a missão.[-],"[FFB400]Пройдите по указателям, чтобы найти торговца внутри.\nЗагляните в инвентарь торговца, чтобы выполнить это задание.[-]",[FFB400]Gezinme simgesini takip ederek içeride tüccarı bul.\nBu görevi tamamlamak için tüccarın envanterine bak.[-],[FFB400]跟随引导图标找到室内的商人。\n查看商人的商品以完成此任务。[-],[FFB400]跟隨導航圖示找到裡面的商人。\n檢查商人的物品欄以完成任務。[-]
challengeBiomeRewardTooltip,Challenges,Challenge,,,[00FF00]New survival gear recipe unlocked![-],,[00FF00]Neues Rezept für Überlebensausrüstung freigeschaltet![-],[00FF00]¡Nueva receta de equipo de supervivencia desbloqueada![-],[00FF00]Nouvelle composition d'équipement de survie déverrouillée ![-],[00FF00]Nuova ricetta per equipaggiamento di sopravvivenza sbloccata![-],[00FF00]新しいサバイバル装備のレシピがアンロックされました！[-],[00FF00]새로운 생존 레시피가 잠금 해제되었습니다![-],[00FF00]Odblokowano nowy przepis na sprzęt do przetrwania![-],[00FF00]Nova receita de equipamento de sobrevivência desbloqueada![-],[00FF00]Разблокирован рецепт нового защитного снаряжения![-],[00FF00]Yeni bir hayatta kalma ekipmanı tarifinin kilidi açıldı![-],[00FF00]已解锁新的生存装备制作配方！[-],[00FF00]新的生存裝備配方已解鎖！[-]
challengeBloodMoonSurvive1,Challenges,Challenge,,,Survive 1 Blood Moon,,Überlebe 1 Blutmond,Sobrevive a 1 luna de sangre,Survivre à 1 lune sanglante,Sopravvivi a 1 luna rossa,ブラッドムーンを1回生き抜く,블러드 문에서 1회 생존,Przetrwaj 1 Krwawy Księżyc,Sobreviva a 1 Lua de Sangue,Пережить кровавую луну 1 раз,1 Kanlı Aydan Sağ Çık,在1次血月中幸存,在 1 次血月中存活下來
challengeBloodMoonSurvive10,Challenges,Challenge,,,Survive 10 Blood Moons,,Überlebe 10 Blutmonde,Sobrevive a 10 lunas de sangre,Survivre à 10 lunes sanglantes,Sopravvivi a 10 lune rosse,ブラッドムーンを10回生き抜く,블러드 문에서 10회 생존,Przetrwaj 10 Krwawych Księżyców,Sobreviva a 10 Luas de Sangue.,Пережить кровавую луну 10 раз,10 Kanlı Aydan Sağ Çık,在10次血月中幸存。,在 10 次血月中存活下來
challengeBloodMoonSurvive10Desc,Challenges,Challenge,,,Survive several Blood Moons.,,Überlebe mehrere Blutmonde.,Sobrevive a varias lunas de sangre.,Survivez à plusieurs lunes sanglantes.,Sopravvivi a molteplici lune rosse.,ブラッドムーンを何度か生き抜く。,블러드 문에서 여러 번 생존하세요.,Przetrwaj kilkanaście Krwawych Księżyców.,Sobreviva a várias Luas de Sangue.,Переживите кровавую луну некоторое число раз.,Birçok Kanlı Aydan sağ çık.,多次在血月中幸存。,在數次血月中存活下來。
challengeBloodMoonSurvive10Short,Challenges,Challenge,,,Survive many Blood Moons.,,Überlebe viele Blutmonde.,Sobrevive a muchas lunas de sangre.,Survivez à beaucoup de lunes sanglantes.,Sopravvivi a tante lune rosse.,たくさんのブラッドムーンを生き抜く。,블러드 문에서 많이 생존하세요.,Przetrwaj wiele Krwawych Księżyców.,Sobreviva a muitas Luas de Sangue.,Переживите кровавую луну много раз.,Çok sayıda Kanlı Aydan sağ çık.,多次在血月中幸存。,在多次血月中存活下來。
challengeBloodMoonSurvive1Desc,Challenges,Challenge,,,Survive one Blood Moon.,,Überlebe einen Blutmond.,Sobrevive a una luna de sangre.,Survivez à une lune sanglante.,Sopravvivi a una luna rossa.,ブラッドムーンを一回生き抜く。,블러드 문에서 1회 생존하세요.,Przetrwaj jeden Krwawy Księżyc.,Sobreviva a uma Lua de Sangue.,Переживите кровавую луну один раз.,Bir Kanlı Aydan sağ çık.,在1次血月中幸存。,在 1 次血月中存活下來。
challengeBloodMoonSurvive1Short,Challenges,Challenge,,,Survive a Blood Moon.,,Überlebe einen Blutmond.,Sobrevive a una luna de sangre.,Survivez à une lune sanglante.,Sopravvivi a una luna rossa.,ブラッドムーンを生き抜く。,블러드 문에서 1회 생존하세요.,Przetrwaj Krwawy Księżyc.,Sobreviva à Lua de Sangue.,Переживите кровавую луну.,Bir Kanlı Aydan sağ çık.,在1次血月中幸存。,在 1 次血月中存活下來。
challengeBloodMoonSurvive5,Challenges,Challenge,,,Survive 5 Blood Moons,,Überlebe 5 Blutmonde.,Sobrevive a 5 lunas de sangre,Survivre à 5 lunes sanglantes,Sopravvivi a 5 lune rosse,ブラッドムーンを5回生き抜く,블러드 문에서 5회 생존,Przetrwaj 5 Krwawych Księżyców,Sobreviva a 5 Luas de Sangue.,Пережить кровавую луну 5 раз,5 Kanlı Aydan Sağ Çık,在5次血月中幸存。,在 5 次血月中存活下來
challengeBloodMoonSurvive5Desc,Challenges,Challenge,,,Survive a few Blood Moons.,,Überlebe ein paar Blutmond.,Sobrevive a unas pocas lunas de sangre.,Survivez à quelques lunes sanglantes.,Sopravvivi a qualche luna rossa.,ブラッドムーンを数回生き抜く。,블러드 문에서 몇 번 생존하세요.,Przetrwaj kilka Krwawy Księżyc.,Sobreviva a algumas Luas de Sangue.,Переживите кровавую луну некоторое количество раз.,Birkaç Kanlı Aydan sağ çık.,在几次血月中幸存。,在數次血月中存活下來。
