Key,File,Type,UsedInMainMenu,NoTranslate,english
SMALTPickaxe,Items,Weapons,,,"Cuốc Chim Aetherium"
SMALTPickaxeDesc,Items,Weapons,,,"Được rèn từ lõi của một vì sao sa, Cuốc Chim Aetherium tỏa ra thứ ánh sáng xanh huyền ảo, ban cho người cầm nó sức mạnh để khai quật những kho báu ẩn giấu và định hình lại số mệnh.\nTruyền thuyết kể rằng chiếc cuốc chim thần thánh này mang trong mình tinh hoa của vũ trụ, biến nó thành biểu tượng của sức mạnh thần thánh và tiềm năng vô hạn.\n\n\n\n\n\nChịu ảnh hưởng bởi các kỹ năng tương tự như cuốc chim gốc."
SMALTAxe,Items,Weapons,,,"Rìu Vệ Binh Emberwood"
SMALTAxeDesc,Items,Weapons,,,"Được chế tác từ vàng yểm bùa và hòa quyện với tinh hoa của lửa nóng chảy, Rìu Vệ Binh Emberwood là một chiếc rìu của người lùn được tôn sùng vì khả năng đốn hạ những cái cây cổ thụ một cách dễ dàng.\nVẻ sáng bóng rực rỡ của nó phản chiếu sức mạnh và kỹ năng của những người đã tạo ra nó, khiến mỗi nhát chém đều là minh chứng cho di sản chế tác trường tồn của họ.\n\n\n\n\n\nChịu ảnh hưởng bởi các kỹ năng tương tự như rìu gốc."
SMALTShovel,Items,Weapons,,,"Xẻng Frostforged"
SMALTShovelDesc,Items,Weapons,,,"Được rèn từ sâu thẳm trong một hang động băng tuyết, Xẻng Frostforged làm từ quặng adamantite, kết hợp sức mạnh vô song với cái lạnh của lớp băng cổ đại.\nCông cụ huyền thoại này, được ca tụng vì khả năng đào xuyên qua cả lớp đất đóng băng cứng nhất, mang theo di sản của nguồn gốc băng giá và sự bậc thầy của những người thợ rèn người lùn.\n\n\n\n\n\nChịu ảnh hưởng bởi các kỹ năng tương tự như xẻng gốc."
SMALTKnife,Items,Weapons,,,"Dao Găm Trăng Máu"
SMALTKnifeDesc,Items,Weapons,,,"Được rèn dưới ánh trăng máu hiếm hoi, Dao Găm Trăng Máu sở hữu một viên pha lê đỏ rực dài khảm ngay giữa lưỡi dao, tỏa ra ánh sáng tăm tối và đầy mê hoặc.\nTruyền thuyết kể về sức mạnh hút cạn sinh khí của nạn nhân, để lại sau mỗi nhát đâm một vệt sáng đỏ rợn người vang vọng lại hiện tượng thiên văn nham hiểm lúc nó ra đời.\n\n\n\n\n\nChịu ảnh hưởng bởi các kỹ năng tương tự như dao găm gốc."
SMALTCrowbar,Items,Weapons,,,"Xà Beng Dreadnought"
SMALTCrowbarDesc,Items,Weapons,,,"Được chế tác từ một loại kim loại quý hiếm và không thể bị bẻ gãy, Xà Beng Dreadnought sở hữu sức mạnh và độ bền mà không một công cụ bình thường nào sánh kịp.\nTruyền thuyết kể về khả năng cạy tung cả những rào chắn kiên cố nhất, sức mạnh tuyệt đối và ý chí bất khuất biến nó thành biểu tượng của sự quyết tâm và sức mạnh không ngừng nghỉ.\n\n\n\n\n\nChịu ảnh hưởng bởi các chỉ số tương tự như cuốc chim gốc, ngoại trừ Mỏ Vàng (Mother Lode).\nCực kỳ hoàn hảo để phá rương."
SMALTHammer,Items,Weapons,,,"Búa Cinderforge"
SMALTHammerDesc,Items,Weapons,,,"Được sử dụng bởi những bậc thầy xây dựng và thợ thủ công, Búa Cinderforge thay đổi nghệ thuật kiến trúc nhờ khả năng sửa chữa và nâng cấp các công trình bằng tinh hoa của dung nham nóng chảy.\nMỗi nhát búa huyền thoại này không chỉ hàn gắn những thứ đổ nát mà còn truyền vào các cấu trúc sức mạnh mới mẻ và sự bền bỉ của ngọn lửa bất diệt.\n\n\n\n\n\nChịu ảnh hưởng bởi các kỹ năng tương tự như búa gốc."
SMALTWrench,Items,Weapons,,,"Cờ Lê Marauder"
SMALTWrenchDesc,Items,Weapons,,,"Được chế tác dành cho những kỹ thuật viên tàn bạo nhất, Cờ Lê Marauder xuất sắc trong việc tháo dỡ cả những cỗ máy cứng đầu nhất nhờ sức mạnh đáng gờm của nó.\nMỗi vòng xoay chính xác của công cụ gai góc này phản chiếu di sản chinh phục các hệ thống phức tạp, khiến nó trở thành thứ không thể thiếu trong tay những người bậc thầy về nghệ thuật tháo dỡ.\n\n\n\n\n\nChịu ảnh hưởng bởi các chỉ số tương tự như cờ lê gốc."
resourceSMALegendaryRepairKit,Items,Item,,,"Bộ Dụng Cụ Sửa Chữa Huyền Thoại"
resourceSMALegendaryRepairKitDesc,Items,Item,,,"Bộ dụng cụ sửa chữa này được dùng để sửa nhiều loại vũ khí và công cụ huyền thoại khác nhau."
decoSMALWPedestalBlank,Blocks,Block,,,"Bệ Đỡ Trống"
decoSMALWPedestalBlankDesc,Blocks,Block,,,"Một cái bệ đỡ trống không... có lẽ mình có thể kết hợp nó với thứ gì đó?"
