Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
foodSVETGFishSalmon,Items,Food,,,"Cá Hồi","Лосось"
foodSVETGFishSalmonDesc,Items,Food,,,"Cá hồi là một loài cá di cư màu bạc, nổi tiếng với vòng đời đặc biệt: nở ở nước ngọt, di cư ra đại dương, và quay về đúng nơi chôn rau cắt rốn để đẻ trứng.\n\n\n\n\n\n\nCó thể phi lê trên Thớt.","Лосось — это серебристая мигрирующая рыба, известная своим уникальным жизненным циклом, который включает вылупление в пресной воде, миграцию в океан и возвращение на место рождения для нереста.\n\n\n\n\n\n\nЕго можно разделать на разделочной доске."
foodSVETGRawChicken,Items,Food,,,"Thịt Gà Sống","Сырая курица"
foodSVETGRawChickenDesc,Items,Food,,,"Thịt ức gà sống là phần thịt gia cầm nạc, nhạt màu, không xương không da, thường được dùng làm nguồn protein đa năng trong nhiều món ăn.","Куриная грудка — это постное, бледно-розовое мясо птицы без костей и кожи, часто используемое как универсальный источник белка в различных кулинарных блюдах."
foodSVETGRawSalmon,Items,Food,,,"Cá Hồi Thái Lát","Нарезанный лосось"
foodSVETGRawSalmonDesc,Items,Food,,,"Cá hồi thái lát là phần phi lê cá màu cam hồng đậm đà, nổi tiếng với thớ thịt mềm, hàm lượng omega-3 cao, và cực kỳ đa năng trong các cách chế biến như nướng, đút lò, hoặc làm sushi.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Нарезанный лосось — это насыщенный оранжево-розовый филе рыбы, известный своей нежной текстурой, высоким содержанием омега-3 и универсальностью в различных способах приготовления, таких как гриль, запекание или приготовление суши.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawPork,Items,Food,,,"Thịt Lợn Sống","Сырая свинина"
foodSVETGRawPorkDesc,Items,Food,,,"Thịt lợn sống có màu hồng nhạt đến đỏ với thớ thịt chắc, thường được dùng trong nhiều nền ẩm thực và có sẵn dưới nhiều dạng cắt như sườn cốt lết, thịt thăn, và nạc vai.","Сырая свинина — это светло-розовое или красноватое мясо с плотной текстурой, часто используемое в различных кухнях и доступное в разных видах нарезки, таких как отбивные, корейка и плечо."
foodSVETGRawBacon,Items,Food,,,"Thịt Ba Chỉ Sống","Сырой бекон"
foodSVETGRawBaconDesc,Items,Food,,,"Thịt ba chỉ sống là phần thịt bụng lợn được ướp muối và thái lát với những dải mỡ đan xen đặc trưng, nổi tiếng với hương vị béo ngậy và độ giòn rụm khi nấu chín.","Сырой бекон — это обработанное и нарезанное свиное брюхо с характерным мраморным видом жира и мяса, известное своим насыщенным вкусом и хрустящей текстурой после приготовления."
foodSVETGRawChickenStripes,Items,Food,,,"Lát Thịt Gà Sống","Сырые куриные полоски"
foodSVETGRawChickenStripesDesc,Items,Food,,,"Lát thịt gà sống là những miếng ức hoặc đùi gà mỏng, không xương, thường được dùng để nấu nhanh trong các món xào, salad, và nhiều món tẩm bột hoặc nướng.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Сырые куриные полоски — это тонкие, бескостные кусочки куриной грудки или бедра, часто используемые для быстрого приготовления в жареных блюдах, салатах и различных панированных или гриль-блюдах.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawBeefStripes,Items,Food,,,"Lát Thịt Bò Sống","Сырые говяжьи полоски"
foodSVETGRawBeefStripesDesc,Items,Food,,,"Lát thịt bò sống là những miếng thịt bò thái mỏng, thường được cắt từ những phần mềm như thăn lưng hoặc nạc hông, và hay được dùng trong các món xào, fajitas, cùng các món nấu nhanh khác.\n\n\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Сырые говяжьи полоски — это тонкие, удлиненные кусочки говядины, обычно нарезанные из мягких частей, таких как вырезка или боковой край, и часто используемые в жареных блюдах, тако и других быстрых блюдах.\n\n\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawBeefGround,Items,Food,,,"Thịt Bò Băm Sống","Сырой говяжий фарш"
foodSVETGRawBeefGroundDesc,Items,Food,,,"Thịt bò băm sống là loại thịt bò được băm nhỏ, thường có tỷ lệ mỡ nhất định, rất đa năng và hay được dùng trong các công thức như burger, thịt viên, và nước sốt.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Сырой говяжий фарш — это мелко нарезанная говядина, обычно с определенным содержанием жира, которая универсальна и часто используется в рецептах, таких как бургеры, котлеты и соусы.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawPasta,Items,Food,,,"Mì Ống Sống","Сырая паста"
foodSVETGRawPastaDesc,Items,Food,,,"Mì ống sống là loại bột khô, chưa nấu chín được làm từ lúa mì durum và nước, thường được tạo thành nhiều hình dạng như spaghetti, penne, hay fusilli, và cần được luộc trước khi ăn.\n\n\n\n\n\n\n\nChế tạo tại: Thớt","Сырая паста — это сухое, не приготовленное тесто, сделанное из твердой пшеницы и воды, часто формованное в различные формы, такие как спагетти, пенне или фузилли, и требует варки перед употреблением.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"

foodCropSVETGCabbage,Items,Food,,,"Bắp Cải","Капуста"
foodCropSVETGCabbageDesc,Items,Food,,,"Bắp cải là một loại rau xanh, đỏ hoặc trắng với phần lá cuộn chặt, nổi tiếng với độ giòn và cực kỳ đa năng trong các món salad, đồ xào, và các món lên men như dưa muối hay kim chi.","Капуста — это листовой зелёный, красный или белый овощ с плотной компактной головкой, известный своей хрустящей текстурой и универсальностью в салатах, жареных блюдах и ферментированных продуктах, таких как квашеная капуста и кимчи."
foodCropSVETGLime,Items,Food,,,"Chanh","Лайм"
foodCropSVETGLimeDesc,Items,Food,,,"Chanh là một loại quả họ cam quýt nhỏ, tròn với vỏ xanh và vị chua gắt, thường được dùng để thêm độ thanh mát cho các món ăn, đồ uống, và nước xốt.","Лайм — это небольшой круглый цитрусовый фрукт с кислым вкусом и зелёной кожурой, часто используемый для добавления пикантности в блюда, напитки и маринады."
foodCropSVETGMintLeaves,Items,Food,,,"Lá Bạc Hà","Листья мяты"
foodCropSVETGMintLeavesDesc,Items,Food,,,"Lá bạc hà là loại thảo mộc có màu xanh tươi, thơm ngát với hương vị the mát sảng khoái, thường được dùng để tăng hương vị cho đồ uống, món tráng miệng, và món mặn.","Листья мяты — это ароматные ярко-зелёные травы с освежающим прохладным вкусом, часто используемые для улучшения вкуса напитков, десертов и солёных блюд."
foodCropSVETGOnion,Items,Food,,,"Hành Tây","Лук"
foodCropSVETGOnionDesc,Items,Food,,,"Hành tây là một loại củ có lớp vỏ mỏng như giấy và phần thịt phân lớp, hương vị thay đổi từ hăng xộc mũi khi ăn sống đến ngọt lịm khi được nấu chín.","Лук — это луковичный овощ с бумажистой кожурой и слоистой мякотью, вкус которого варьируется от острого и резкого в сыром виде до сладкого и карамелизованного при готовке."
foodCropSVETGPaprika,Items,Food,,,"Ớt Chuông Đỏ","Красный перец"
