Key,File,Type,UsedInMainMenu,NoTranslate,english

armorGoofyLightArmor,items,Item,,,"Giáp Nhẹ Hài Hước [e38d23](MS)"
armorGoofyMediumArmor,items,Item,,,"Giáp Trung Hài Hước [e38d23](MS)"


armorFemaleBadCopHelmet,items,Clothes,,,"Mũ Cảnh Sát Hư [e38d23](MS)"
armorFemaleBadCopOutfit,items,Clothes,,,"Đồ Cảnh Sát Hư [e38d23](MS)"
armorFemaleBadCopGloves,items,Clothes,,,"Găng Tay Cảnh Sát Hư [e38d23](MS)"
armorFemaleBadCopBoots,items,Clothes,,,"Giày Cảnh Sát Hư [e38d23](MS)"

armorFemaleBadCopHelmetDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nBạn biết cách tìm ra mấy món đồ ngon nghẻ.\n\n[e38d23]Thưởng Mũ:[-] Tăng Cấp Độ Loot & Thêm Rất Nhiều Tiền/Dukes Khi Loot.\n\n[e38d23]Thưởng Đủ Bộ:[-] Nạp Đạn Nhanh Hơn với Mọi Vũ Khí."
armorFemaleBadCopOutfitDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nĐống dầu bôi trơn đó khiến cơ thể bạn siêu trơn trượt, làm những vị khách phấn khích và lũ zombie đói khát khó mà tóm được bạn.\n\n[e38d23]Thưởng Trang Phục:[-] Kháng Sát Thương.\n\n[e38d23]Thưởng Đủ Bộ:[-] Nạp Đạn Nhanh Hơn với Mọi Vũ Khí."
armorFemaleBadCopGlovesDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nTuy không phải là một cảnh sát 'thực thụ', nhưng bạn biết cách xài hết đồ nghề của họ.\n\n[e38d23]Thưởng Găng Tay:[-] Tăng Sát Thương Dùi Cui, Súng Lục & Súng Rulo.\n\n[e38d23]Thưởng Đủ Bộ:[-] Nạp Đạn Nhanh Hơn với Mọi Vũ Khí."
armorFemaleBadCopBootsDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nĐôi giày này sinh ra để Khiêu vũ!\nVà chắc là để chạy nữa.\n\n[e38d23]Thưởng Giày:[-] Tốc Độ Chạy Nhanh Hơn.\n\n[e38d23]Thưởng Đủ Bộ:[-] Nạp Đạn Nhanh Hơn với Mọi Vũ Khí."

armorFemaleSexySheriffHelmet,items,Clothes,,,"Mũ Cảnh Sát Trưởng Gợi Cảm [e38d23](MS)"
armorFemaleSexySheriffOutfit,items,Clothes,,,"Đồ Cảnh Sát Trưởng Gợi Cảm [e38d23](MS)"
armorFemaleSexySheriffGloves,items,Clothes,,,"Còng Tay Cảnh Sát Trưởng Gợi Cảm [e38d23](MS)"
armorFemaleSexySheriffBoots,items,Clothes,,,"Giày Cảnh Sát Trưởng Gợi Cảm [e38d23](MS)"

