Key,english
firemode_fa,"[D3CE1D]Full Auto[-]"
firemode_2rb,"[D3CE1D]2-Round Burst[-]"
firemode_3rb,"[D3CE1D]3-Round Burst[-]"
firemode_5rb,"[D3CE1D]5-Round Burst[-]"
firemode_sa,"[D3CE1D]Semi Auto[-]"

# 09FF00 2
# 004CFF 3
# BB00FF 4
# FFD700 5
# 4FBE28 green
# FF4F33 red
# FE7B7C Salmon Pink
# FFEB04 Yellow (7DtD Settings Menu)

resourceSMGParts,"SMG Parts"
resourceSMGPartsDesc,"Used in the Crafting of SMGS"

resourceRevolverParts,"Revolver Parts"
resourceRevolverPartsDesc,"Used in the Crafting of Revolvers"

resourceSMGRepairKit,"SMG Repair Kit"
resourceSMGRepairKitDesc,"Used to repair SMGS"

resourcePistolRepairKit,"Pistol Repair Kit"
resourcePistolRepairKitDesc,"Used to repair Pistols"

resourceRevolverRepairKit,"Revolver Parts"
resourceRevolverRepairKitDesc,"Used To Repair Revolvers"

resourceShotgunRepairKit,"Shotgun Repair Kit"
resourceShotgunRepairKitDesc,"Used to repair Shotguns"

resourceLauncherRepairKit,"Launcher Repair Kit"
resourceLauncherRepairKitDesc,"Used to repair Launchers"

resourceRifleRepairKit,"Rifle Repair Kit"
resourceRifleRepairKitDesc,"Used to repair Rifles"

resourceMachineGunRepairKit,"Machine Gun Repair Kit"
resourceMachineGunRepairKitDesc,"Used to repair Machine Guns"

modArmorHelmetLight,"Old Helmet Light"
modArmorHelmetLight2,"Helmet Light"
modArmorHelmetLight3,"'Lumen' Helmet Light"
modArmorHelmetLightDesc,"An old and weak light source that can be installed into any head armor.\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate."
modArmorHelmetLight2Desc,"A light source that can be installed into any head armor.\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate."
modArmorHelmetLight3Desc,"A very bright light source that can be installed into any head armor.\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate."
modArmorNightVision,"PVS 7 Gen 2"
modArmorNightVision2,"PVS 14 Gen 3"
modArmorNightVision3,"Opsin Digital NVG"
modArmorNightVisionDesc,"See in the dark with this night vision head armor mod.\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate."
modArmorNightVision2Desc,"See in the dark with this night vision head armor mod.\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate."
modArmorNightVision3Desc,"See in the dark with this high tech night vision head armor mod.\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate."

modtacticalHolosunLS321,"Holosun LS321 Tactical device"
modtacticalHolosunLS321Desc,"Weight: 0.190kg\nErgonomics:-1\nImproves point-firing accuracy (less effective on shotguns).\nHolosun LS321 is a multi-laser tactical device with green laser in the visible light spectrum. The integrated laser is green. "
modtacticalNCStarBlueLaser,"NcSTAR Tactical Blue Laser"
modtacticalNCStarBlueLaserDesc,"Weight: 0.050kg\nErgonomics:-1\nImproves point-firing accuracy (less effective on shotguns).\nA compact tactical Laser Aiming Module with a blue dot. Mounts on any Picatinny/Weaver rail for precise target acquisition. Manufactured by NcSTAR. The integrated laser is blue. "

modtacticalANPEQ15,"L3Harris AN/PEQ-15 tactical device"
modtacticalANPEQ15Desc,"Weight: 0.210kg\nErgonomics:-1\nImproves point-firing accuracy (less effective on shotguns).\nThe Advanced Target Pointer Illuminator Aiming Laser (ATPIAL) or 'PEQ-15' produced by L3 Technologies. This tactical device is a rugged, combat-proven and easy-to-use aiming system. The integrated laser is red. "
modtacticalFlashlightSurefireX400,"SureFire X400 Ultra tactical laser/light"
modtacticalFlashlightSurefireX400Desc,"Weight: 0.140kg\nErgonomics:-1\nImproves point-firing accuracy (less effective on shotguns).\nThe X400U flashlight by SureFire is engineered to fit virtually any rail-equipped pistol or rifle. Combines a laser designator and a flashlight. The integrated laser is red.\nPress or Hold 'F' to toggle flashlight\nMax Light Range is 45m, moderate light intensity with a wide area coverage (light source is blue)."
modtacticalFlashlightSurefireXC1,"SureFire XC1 tactical flashlight"
modtacticalFlashlightSurefireXC1Desc,"Weight: 0.050kg\nErgonomics:-1\nA compact tactical LED flashlight, manufactured by SureFire.\nPress or Hold 'F' to toggle flashlight.\nMax Light Range is 30m, moderate light intensity with a moderate area coverage."
modtacticalFlashlightZenit2U,"Zenit Klesch-2U tactical flashlight"
modtacticalFlashlightZenit2UDesc,"Weight: 0.260kg\nErgonomics:-2\nThe 'Klesch-2U' LED tactical flashlight with a mount on the Picatinny rail is designed to detect and illuminate the target (object) when observing, inspecting and firing at night and in conditions of limited visibility. Manufactured by Zenit.\nPress or Hold 'F' to toggle flashlight.\nMax Light Range is 35m, very high light intensity with a very wide area coverage."
modtacticalFlashlightArmyTekPredator,"Armytek Predator Pro v3 XHP35 HI flashlight"
modtacticalFlashlightArmyTekPredatorDesc,"Weight: 0.210kg\nErgonomics:-2\nA powerful flashlight in a heavy-duty frame, manufactured by Armytek.\nPress or Hold 'F' to toggle flashlight.\nMax Light Range is 65m, high light intensity with a moderate area coverage."
modtacticalFlashlightUltraFire,"Ultrafire WF-501B flashlight"
modtacticalFlashlightUltraFireDesc,"Weight: 0.210kg\nErgonomics:-2\nA simple but powerful LED flashlight with a sturdy body, durable enough for long-time daily usage.\nPress or Hold 'F' to toggle flashlight.\nMax Light Range is 65m, high light intensity with a moderate area coverage (light source is blue)."
modtacticalFlashlightWMX200,"Insight WMX200 tactical flashlight"
modtacticalFlashlightWMX200Desc,"Weight: 0.210kg\nErgonomics:-2\nThe WMX200 tactical flashlight manufactured by Insight Technologies, which combines a conventional flashlight and an IR searchlight.\nPress or Hold 'F' to toggle flashlight.\nMax Light Range is 80m, high light intensity with a moderate area coverage."

modmount_shotgun_shell_holder,"Shotgun Receiver-mounted Shellholder"
modmount_shotgun_shell_holderDesc,"Receiver-mounted shellholder, compatible with pump-action shotguns. Improves reload speed by 15%."
modbipod_all_atlas_v8_bt10,"BT10 V8 Atlas Bipod"
modbipod_all_atlas_v8_bt10Desc,"Weight: 0.310kg\nErgonomics:-3\nRecoil -30% and no aiming stamina drain when: bipod is deployed (Press or Hold 'F' to deploy), is crouching and stationary.\nCompatible with mostly rifles, MPX and Saiga12K."
modtactickitSKSTAPCO,"SKS TAPCO Intrafuse Upgrade Kit"
modtactickitSKSTAPCODesc,"Total weight added: 0.650kg\nErgonomics:+24\nRecoil:-15\nUpgrade the SKS Carbine with these furnitures from TAPCO, including: a chassis, a buffer tube, a pistol grip and rails. Improves modularity, allowing more attachments on this carbine like: tactical devices, bipod, foregrip and AR-15 style buttstocks."
modtactickitDSARPD,"DSA RPD Parts"
modtactickitDSARPDDesc,"Ergonomics:+10\nUpgrade the RPD Lightmachine gun with these furnitures from DS Arms, including: a trigger group converted to accept AR-15 buffer tube and stocks, a pistol grip and quad-railed handguard. Improves modularity, allowing more attachments on this lightmachine gun like: tactical devices, foregrip and AR-15 style buttstocks."
modlauncher_ar15_colt_m203_40x46_model,"M203 40mm underbarrel grenade launcher"
modlauncher_ar15_colt_m203_40x46_modelDesc,"Weight: 2.920kg\nErgonomics:-41\nRecoil:-10\nUses ammo: 40x46mm Grenades\nA single-shot 40mm underbarrel grenade launcher, designed for installation on M16 and M4 assault rifles by clamping the barrel.\nPress 'X' key to switch between gun mode/launcher mode.\nCompatible with M4A1 and M16 Variants."
modlauncher_ak_toz_gp25_40_vog,"GP-25 Kostyor 40mm underbarrel grenade launcher"
modlauncher_ak_toz_gp25_40_vogDesc,"Weight: 2.920kg\nErgonomics:-35\nRecoil:-8\nUses ammo: 40x53mm VOG-25 Grenades\nAn underbarrel grenade launcher for 40mm VOG-25 grenades, designed for installation on all standard length AK rifles.\nPress 'X' key to switch between gun mode/launcher mode.\nCompatible with standard length AK rifles."
modhandguard_uzi_iwi_vertical_grip_railed,"UZI handguard with foregrip"
modhandguard_uzi_iwi_vertical_grip_railedDesc,"Weight: 0.180kg\nErgonomics:+7\nRecoil:-2\nA handguard with a vertical foregrip and side rail slots for the UZI submachine gun, allowing the installation of tactical devices. Manufactured by Israel Weapon Industries."
modforegrip_all_hk_sturmgriff_assault_grip,"HK Sturmgriff foregrip"
modforegrip_all_hk_sturmgriff_assault_gripDesc,"Weight: 0.070kg\nErgonomics:+10\nThe Sturmgriff vertical foregrip. Manufactured by Heckler & Koch. Enabling more attachments like tactical devices on shorter handguards by providing more space to grip the weapon."
modforegrip_all_magpul_rvg,"Magpul RVG foregrip"
modforegrip_all_magpul_rvgDesc,"Weight: 0.080kg\nErgonomics:+7\nRecoil:-3\nMagpul RVG (Rail Vertical Grip) tactical grip. Enabling more attachments like tactical devices on shorter handguards by providing more space to grip the weapon."
modforegrip_all_zenit_rk_1,"Zenit RK-1 tactical foregrip"
modforegrip_all_zenit_rk_1Desc,"Weight: 0.170kg\nErgonomics:+3\nRecoil:-7\nThe RK-1 foregrip can be installed on the lower part of handguards with a Weaver rail. Its provides better operational control of a weapon during firing. Manufactured by Zenit. Enabling more attachments like tactical devices on shorter handguards by providing more space to grip the weapon."
modforegrip_all_zenit_b25u_rk_1,"Zenit RK-1 tactical foregrip on B-25U mount"
modforegrip_all_zenit_b25u_rk_1Desc,"Weight: 0.180kg\nErgonomics:+5\nRecoil:-5\nThe RK-1 foregrip can be installed on the lower part of handguards with a Weaver rail. It provides better operational control of a weapon during firing. Installed on B-25U mount for easier handling of LMGs. Manufactured by Zenit. Enabling more attachments like tactical devices on shorter handguards by providing more space to grip the weapon."

modscopePU3_5x,"PU 3.5x Scope"
modscopePU3_5xDesc,"Weight: 0.440kg\nErgonomics:-5\nCompatibility: Mosin Nagant, SVT-40"
modscopeaimpointAcroP1,"Aimpoint ACRO P-1 Compact Reflex Sight"
modscopeaimpointAcroP1Desc,"Weight: 0.130kg\nCompatibility: most firearms"
modscopeaimpointMicroH2,"Aimpoint Micro H2 Compact Reflex Sight"
modscopeaimpointMicroH2Desc,"Weight: 0.110kg\nCompatibility: most firearms"
modscopeaimpointMicroT1,"Aimpoint Micro T1 Compact Reflex Sight"
modscopeaimpointMicroT1Desc,"Weight: 0.100kg\nCompatibility: most firearms"
modscopeBelOMOpk06,"BelOMO PK-06 Compact Reflex Sight"
modscopeBelOMOpk06Desc,"Weight: 0.090kg\nCompatibility: most firearms"
modscopeburrisfastfire,"Burris Fastfire 3 Compact Reflex Sight"
modscopeburrisfastfireDesc,"Weight: 0.042kg\nCompatibility: most firearms"
modscopeSIGromeo4,"SIG SAUER ROMEO 4 Compact Reflex Sight"
modscopeSIGromeo4Desc,"Weight: 0.104kg\nCompatibility: most firearms"
modscopeRMR,"Trijicon RMR Compact Reflex Sight"
modscopeRMRDesc,"Weight: 0.042kg\nCompatibility: most firearms"
modscopeleupolddeltapoint,"Leupold DeltaPoint Compact Reflex Sight"
modscopeleupolddeltapointDesc,"Weight: 0.098kg\nCompatibility: most firearms"
modscopeAimPointCompM4,"AimPoint CompM4 Reflex Sight"
modscopeAimPointCompM4Desc,"Weight: 0.450kg\nErgonomics:-2\nCompatibility: most firearms"
modscopeAimPointPro,"AimPoint PRO Reflex Sight"
modscopeAimPointProDesc,"Weight: 0.350kg\nErgonomics:-2\nCompatibility: most firearms"
modscopeaksionEKP818,"Aksion Kobra EKP-8-18 Reflex Sight"
modscopeaksionEKP818Desc,"Weight: 0.270kg\nErgonomics:-2\nCompatibility: most firearms"
modscopeaksionEKP1s03,"Aksion Kobra EKP-1S-03 Reflex Sight Dovetail"
modscopeaksionEKP1s03Desc,"Weight: 0.270kg\nErgonomics:-3\nCompatibility: firearms with dovetail platform"
modscopeaksionEKP802,"Aksion Kobra EKP-8-02 Reflex Sight Dovetail"
modscopeaksionEKP802Desc,"Weight: 0.270kg\nErgonomics:-3\nCompatibility: firearms with dovetail platform"
modscopeBelOMOdovetailPKAA,"BelOMO PK-AA Reflex Sight Dovetail"
modscopeBelOMOdovetailPKAADesc,"Weight: 0.450kg\nErgonomics:-4\nCompatibility: firearms with dovetail platform"
modscopeElcanSpecterHCO,"Elcan Specter HCO Holographic Sight"
modscopeElcanSpecterHCODesc,"Weight: 0.430kg\nErgonomics:-2\nCompatibility: most firearms"
modscopeLeapersUTG,"Leapers UTG Reflex Sight"
modscopeLeapersUTGDesc,"Weight: 0.230kg\nErgonomics:-3\nCompatibility: most firearms"
modscopeNPZPK1,"NPZ PK-1 Obzor Reflex Sight Dovetail"
modscopeNPZPK1Desc,"Weight: 0.520kg\nErgonomics:-3\nCompatibility: firearms with dovetail platform"
modscopeOKP7dovetail,"OKP-7 Reflex Sight Dovetail"
modscopeOKP7dovetailDesc,"Weight: 0.300kg\nErgonomics:-4\nCompatibility: firearms with dovetail platform"
modscopeSIGRomeo8T,"SIG Sauer ROMEO8T Reflex Sight"
modscopeSIGRomeo8TDesc,"Weight: 0.390kg\nErgonomics:-3\nCompatibility: most firearms"
modscopeSRS02,"Trijicon SRS 02 Reflex Sight"
modscopeSRS02Desc,"Weight: 0.390kg\nErgonomics:-1\nCompatibility: most firearms"
modscopeValdayKrechet,"Valday Krechet Reflex Sight"
modscopeValdayKrechetDesc,"Weight: 0.350kg\nErgonomics:-4\nCompatibility: most firearms"
modscopeValdayPK120,"Valday PK-120 Reflex Sight"
modscopeValdayPK120Desc,"Weight: 0.300kg\nErgonomics:-4\nCompatibility: most firearms"
modscopeVOMZPiladP1,"VOMZ Pilad P1x42 Reflex Sight"
modscopeVOMZPiladP1Desc,"Weight: 0.300kg\nErgonomics:-3\nCompatibility: most firearms"
modscopeVortexRazorAMGUH1,"Vortex Razor AMG UH-1 Reflex Sight"
modscopeVortexRazorAMGUH1Desc,"Weight: 0.160kg\nErgonomics:-4\nCompatibility: most firearms"
modscopewalthermrsreflex,"Walther MRS Reflex Sight"
modscopewalthermrsreflexDesc,"Weight: 0.110kg\nErgonomics:-3\nCompatibility: most firearms"
modscopeWilcoxBossXeHP,"Wilcox BOSS Xe Reflex Sight"
modscopeWilcoxBossXeHPDesc,"Weight: 0.250kg\nErgonomics:-2\nCompatibility: most firearms"
modscopeokp7reflex,"OKP-7 Reflex Sight"
modscopeokp7reflexDesc,"Weight: 0.300kg\nErgonomics:-4\nCompatibility: most firearms"
modscopeEOTech553holo,"EOTech 553 Holographic Sight"
modscopeEOTech553holoDesc,"Weight: 0.350kg\nErgonomics:-2\nCompatibility: most firearms"
modscopeFNP90ringreflex,"P90 Ring Reflex Sight"
modscopeFNP90ringreflexDesc,"Weight: 0.300kg\nCompatibility: P90"
modscopeElcanSpecterDR,"ELCAN SpecterDR 1x/4x Scope"
modscopeElcanSpecterDRDesc,"Weight: 0.640kg\nErgonomics:-4\nCompatibility: most firearms\nPress [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\n Press or hold 'F' to activate backup sight."
modscopeKibaArmsPrism,"Kiba Arms Short Prism 2.5x Scope"
modscopeKibaArmsPrismDesc,"Weight: 0.440kg\nErgonomics:-4\nCompatibility: most firearms"
modscopeNPZ1p78,"NPZ 1P78-1 2.8x Scope Dovetail"
modscopeNPZ1p78Desc,"Weight: 0.640kg\nErgonomics:-7\nCompatibility: firearms with dovetail platform"
modscopeNPZ1p29,"NPZ USP-1 Tyulpan 4x Scope Dovetail"
modscopeNPZ1p29Desc,"Weight: 0.800kg\nErgonomics:-6\nCompatibility: firearms with dovetail platform"
modscopeBelOMOPSO1M2,"BelOMO PSO-1M2-1 4x24 Scope Dovetail"
modscopeBelOMOPSO1M2Desc,"Weight: 0.600kg\nErgonomics:-7\nCompatibility: firearms with dovetail platform"
modscopemonstrumcompact,"Monstrum Compact Scope"
modscopemonstrumcompactDesc,"Weight: 0.425kg\nErgonomics:-3\nCompatibility: most firearms"
modscopeSwampFoxPrism,"SwampFox Trihawk Prism 3x30 Scope"
modscopeSwampFoxPrismDesc,"Weight: 0.440kg\nErgonomics:-3\nCompatibility: most firearms"
modscopeeotechhhshybrid,"EOTech HHS Hybrid Sight"
modscopeeotechhhshybridDesc,"Weight: 0.635kg\nErgonomics:-3\nCompatibility: most firearms\n Press or hold 'F' to toggle magnifier."
modscopeG36HensoldtCarryHandle3x,"HK G36 Hensoldt HKV 3x carry handle scope"
modscopeG36HensoldtCarryHandle3xDesc,"Weight: 0.420kg\nErgonomics:-3\nCompatibility: G36\nPress or hold 'F' to activate backup sight."
modscopeacogta01NSN4x32,"Trijicon ACOG TA01NSN 4x32 Scope"
modscopeacogta01NSN4x32Desc,"Weight: 0.560kg\nErgonomics:-4\nCompatibility: most firearms\nPress or hold 'F' to activate backup sight."
modscopeacogta11D35x,"Trijicon ACOG TA11D 3.5x35 Scope"
modscopeacogta11D35xDesc,"Weight: 0.560kg\nErgonomics:-4\nCompatibility: most firearms\n Press or hold 'F' to activate backup sight."
modscopeLeupoldMark4Hamr,"Leupold Mark 4 HAMR 4x24 Scope"
modscopeLeupoldMark4HamrDesc,"Weight: 0.460kg\nErgonomics:-4\nCompatibility: most firearms\n Press or hold 'F' to activate backup sight."
modscopeSIGBravo4,"SIG Sauer BRAVO4 4x30 Scope"
modscopeSIGBravo4Desc,"Weight: 0.530kg\nErgonomics:-2\nCompatibility: most firearms\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeValdayPS320,"Valday PS-320 1/6x Scope"
modscopeValdayPS320Desc,"Weight: 0.570kg\nErgonomics:-5\nCompatibility: most firearms\nPress [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level."
modscopeSBPMII18x2430mm,"Schmidt & Bender PM II 1-8x24 Scope"
modscopeSBPMII18x2430mmDesc,"Weight: 1.250kg\nErgonomics:-3\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\nCan install an aditional back up micro reflex sight for short-range combat."
modscopeSBPMII320x5034mm,"Schmid & Bender PM II 3-20x50 Scope"
modscopeSBPMII320x5034mmDesc,"Weight: 1.250kg\nErgonomics:-6\nCompatibility: most firearms\nScroll mouse wheel to change zoom level, or press [action:KFLibPlayerActions:ToggleZoomLevel] to toggle zoom level\n Press or hold 'F' to activate back up sight."
modscopeSBPMII525x5634mm,"Schmidt & Bender PM II 5-25x56 Riflescope"
