Key,File,Type,UsedInMainMenu,NoTranslate,english

armorFalloutLightArmor,items,Item,,,"Fallout Light Armors [e38d23](MS)"
armorFalloutMediumArmor,items,Item,,,"Fallout Medium Armors [e38d23](MS)"
armorFalloutHeavyArmor,items,Item,,,"Fallout Heavy Armors [e38d23](MS)"


armorUnisexVaultFOHelmet,items,Clothes,,,"Vault Backpack [e38d23](MS)"
armorUnisexVaultFOOutfit,items,Clothes,,,"Vault Suit [e38d23](MS)"
armorUnisexVaultFOGloves,items,Clothes,,,"Vault Pip-Boy [e38d23](MS)"
armorUnisexVaultFOBoots,items,Clothes,,,"Vault Boots [e38d23](MS)"

armorUnisexVaultFOHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou will never need to left anything behind with the Vault Tech backpack.\nYou never know when that 1 piece of cornmeal would come in handy\n\n[e38d23]Backpack Bonus:[-] Increase Carrying Capacity.\n\n[e38d23]Full Set Bonus:[-] Much Better Buy & Sell Prices."
armorUnisexVaultFOOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nThe Vault Suit is ideal for 'agressive negotiations' with the 'glowing' demographic.\nKeep your genes 99% radiation free.\n\n[e38d23]Suit Bonus:[-] Damage Resistance against 'glowing' zombies.\n\n[e38d23]Full Set Bonus:[-] Much Better Buy & Sell Prices."
armorUnisexVaultFOGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nWhy aim when you have algorithms?\nYour VATS grants a % to bypass skill entirely and deliver a devastating critical hit.\n\n[e38d23]Pip-Boy Bonus:[-] % for a Devastating critical hit\n\n[e38d23]Full Set Bonus:[-] Much Better Buy & Sell Prices."
armorUnisexVaultFOBootsDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYears of filtered air and processed soy paste actually paid off.\nYou are less 'biodegradable' than the average local.\n\n[e38d23]Boots Bonus:[-] Max Health & Armor Bonus.\n\n[e38d23]Full Set Bonus:[-] Much Better Buy & Sell Prices."


