Key,english
Trader_Mechanic,"Xưởng Cơ Khí"
TraderMechanic_b,"Thợ Cơ Khí"
BVbillboard,"Biển Quảng Cáo Phương Tiện Của Bdub"

vehicleBicycleOldBVChassis,"Khung Xe Đạp Cũ"
vehicleBicycleOldBVHandlebars,"Ghi-đông Xe Đạp Cũ"
vehicleBicycleOldBVPlaceable,"Xe Đạp Cũ"
vehicleBicycleOldBVPlaceableDesc,"Một chiếc xe đạp cũ."
vehicleBicycleOldBV,"Xe Đạp Cũ"
vehicleMinibikeOldBVChassis,"Khung Xe Minibike Cũ"
vehicleMinibikeOldBVHandlebars,"Ghi-đông Xe Minibike Cũ"
vehicleMinibikeOldBVPlaceable,"Xe Minibike Cũ"
vehicleMinibikeOldBVPlaceableDesc,"Một chiếc Minibike cũ."
vehicleMinibikeOldBV,"Xe Minibike Cũ"
vehicleMotorcycleOldBVChassis,"Khung Xe Máy Cũ"
vehicleMotorcycleOldBVHandlebars,"Ghi-đông Xe Máy Cũ"
vehicleMotorcycleOldBVPlaceable,"Xe Máy Cũ"
vehicleMotorcycleOldBVPlaceableDesc,"Một chiếc xe máy cũ."
vehicleMotorcycleOldBV,"Xe Máy Cũ"
vehicleTruck4x4OldBVChassis,"Khung Xe Jeep Cũ"
vehicleTruck4x4OldBVAccessories,"Phụ Kiện Xe Jeep Cũ"
vehicleTruck4x4OldBVPlaceable,"Xe Jeep Cũ"
vehicleTruck4x4OldBVPlaceableDesc,"Một chiếc xe Jeep cũ."
vehicleTruck4x4OldBV,"Xe Jeep Cũ"
vehicleGyrocopterOldBVChassis,"Khung Máy Bay Gyrocopter Cũ"
vehicleGyrocopterOldBVAccessories,"Phụ Kiện Máy Bay Gyrocopter Cũ"
vehicleGyrocopterOldBVPlaceable,"Máy Bay Gyrocopter Cũ"
vehicleGyrocopterOldBVPlaceableDesc,"Một chiếc máy bay Gyrocopter cũ."
vehicleGyrocopterOldBV,"Máy Bay Gyrocopter Cũ"

vehicleBoxTruckbody,"Thùng Xe Tải"
