Key,File,Type,UsedInMainMenu,NoTranslate,english
SMAAutumnsCall,Items,Weapons,,,"Nhật Thực Đỏ"
SMAAutumnsCallDesc,Items,Weapons,,,"Nhật Thực Đỏ được chế tác bởi một pháp sư cổ đại, người đã dùng ma thuật cuối cùng của mình khắc một cổ ngữ mang sức mạnh khổng lồ lên lưỡi kiếm.\nÁnh sáng đỏ rực của cổ ngữ được cho là báo hiệu sự sụp đổ của những kẻ dám cản đường nó, che khuất số mệnh của chúng trong bóng tối.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMABrasswindBlade,Items,Weapons,,,"Kiếm Gió Đồng"
SMABrasswindBladeDesc,Items,Weapons,,,"Kiếm Gió Đồng từng là vũ khí yêu thích của một thuyền trưởng khinh khí cầu huyền thoại, nổi tiếng với những đòn tấn công nhanh như chớp.\nGiờ đây, nó điều khiển những cơn gió sau mỗi nhát chém, dẫn dắt người sử dụng vượt qua bão táp của trận chiến.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Đao Phủ Điện (Electrocutioner).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMASerpentsEdge,Items,Weapons,,,"Lưỡi Dao Độc Xà"
SMASerpentsEdgeDesc,Items,Weapons,,,"Lưỡi Dao Độc Xà tỏa ra một thứ ánh sáng nham hiểm, được cho là tinh hoa nọc độc của một loài mãng xà đã tuyệt chủng từ lâu.\nLưỡi dao tấn công với độ chính xác lặng lẽ như một cú cắn của loài rắn, không để lại dấu vết gì ngoài ánh sáng từ vết thương chí mạng.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAMjölnirsEcho,Items,Weapons,,,"Tiếng Vọng Của Mjölnir"
SMAMjölnirsEchoDesc,Items,Weapons,,,"Tiếng Vọng Của Mjölnir được tô điểm bằng những hình chạm khắc vàng tinh xảo, vang vọng lại sự huy hoàng của những vị thần bị lãng quên.\nKhi được vung lên, nó giáng đòn với sức mạnh sấm sét, tạo ra những làn sóng xung kích vang dội như tiếng gầm của những cơn bão cổ đại.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Máy Nghiền Sọ (Skull Crusher).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAAbyssalReach,Items,Weapons,,,"Móng Vuốt Vực Thẳm"
SMAAbyssalReachDesc,Items,Weapons,,,"Móng Vuốt Vực Thẳm sở hữu một viên pha lê hồng khảm trên phần cán dường như đã bị hóa thạch bởi ma thuật cổ đại.\nÁnh sáng kỳ dị và độ bám vững chắc của ngọn giáo truyền tải thứ năng lượng đen tối của vực thẳm, xuyên thủng bóng đêm với sự chính xác lạnh người.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Bậc Thầy Giáo (Javelin Master).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAWhisperingDeath,Items,Weapons,,,"Kiếm Khắc Cổ Ngữ"
SMAWhisperingDeathDesc,Items,Weapons,,,"Kiếm Khắc Cổ Ngữ lấp lánh với bề mặt bạc bóng loáng, những hình khắc tinh xảo ăn sâu vào trong kim loại.\nCạnh sắc bén của nó hé lộ những con đường và chân lý ẩn giấu, bóc trần những bí mật nằm ngay bên dưới bề mặt sau mỗi nhát cắt.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMARadiance,Items,Weapons,,,"Hào Quang"
SMARadianceDesc,Items,Weapons,,,"Hào Quang là một cây chùy đáng gờm được các hiệp sĩ thánh chiến mang theo, với cấu trúc vững chắc được khắc những biểu tượng đức tin tinh xảo.\nMặc dù không có ánh sáng huyền bí, các đòn tấn công của nó được truyền sức mạnh thần thánh, mang lại sự trong sạch và công lý cho mọi trận chiến.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Thánh Đập Phá (Pummel Pete).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAGrimVortex,Items,Weapons,,,"Vòng Xoáy Tử Thần"
SMAGrimVortexDesc,Items,Weapons,,,"Vòng Xoáy Tử Thần là một lưỡi hái đáng sợ với lưỡi dao cong dường như kéo theo cả bóng tối phía sau.\nMỗi nhát chém tạo ra một vòng xoáy bóng tối cuộn trào, hút vào và xua tan linh hồn của những kẻ gục ngã trước nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMACrimsonWrath,Items,Weapons,,,"Cơn Thịnh Nộ Đỏ Thẫm"
SMACrimsonWrathDesc,Items,Weapons,,,"Cơn Thịnh Nộ Đỏ Thẫm là một thanh kiếm mang sắc đỏ sẫm, lưỡi kiếm hằn lên những vết bẩn sâu thẳm của vô số trận chiến.\nVới mỗi nhát chém, cạnh sắc bén đầy đe dọa của nó mang đến sự báo thù tàn nhẫn, chớp nhoáng, chỉ để lại những tiếng vọng của cơn cuồng nộ.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAStoneboundHammer,Items,Weapons,,,"Búa Đá Tảng"
SMAStoneboundHammerDesc,Items,Weapons,,,"Búa Đá Tảng là một vũ khí một tay cứng cáp được rèn từ đá tảng nguyên khối, với trọng lượng và độ bền không gì sánh kịp.\nMỗi đòn giáng xuống đều vang vọng sức mạnh của chính mặt đất, phá vỡ mọi rào cản và củng cố ý chí của người cầm nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Thánh Đập Phá (Pummel Pete).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAClockworkReaver,Items,Weapons,,,"Kiếm Máy Đoạt Mệnh"
SMAClockworkReaverDesc,Items,Weapons,,,"Kiếm Máy Đoạt Mệnh là một thanh kiếm kết hợp dùi cui đa năng với các bánh răng cơ khí tinh xảo vo ve nhè nhẹ mỗi khi di chuyển.\nMỗi nhát chém là sự kết hợp giữa kỹ thuật chính xác và uy lực tàn phá, thiết kế dây cót của nó đảm bảo cả sự thanh lịch lẫn hiệu quả trong chiến đấu.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Đao Phủ Điện (Electrocutioner).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAReapersMaul,Items,Weapons,,,"Búa Tạ Tử Thần"
SMAReapersMaulDesc,Items,Weapons,,,"Búa Tạ Tử Thần là một cây búa chiến hai tay đáng sợ được trang trí bằng những hộp sọ đe dọa ở mỗi bên.\nKhi vung lên, nó giáng những đòn nghiền nát thấm đẫm nỗi sợ hãi của những kẻ đã ngã xuống trước đó, mỗi cú đập đều vang vọng tiếng gọi của Tử thần.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Máy Nghiền Sọ (Skull Crusher).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMADrakesFang,Items,Weapons,,,"Dao Găm Cổ Ngữ"
SMADrakesFangDesc,Items,Weapons,,,"Dao Găm Cổ Ngữ sở hữu những hình chạm khắc tinh xảo kể về câu chuyện của ma thuật cổ đại và những truyền thuyết bị lãng quên.\nMỗi nhát cắt của nó được dẫn dắt bởi những cổ ngữ khắc trên lưỡi dao, mở khóa những sức mạnh tiềm ẩn và hé lộ những bí mật chôn vùi trong bóng tối.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAIronwyrm,Items,Weapons,,,"Thiết Long"
SMAIronwyrmDesc,Items,Weapons,,,"Được rèn từ xương rồng và trang trí bằng đôi cánh vàng, Thiết Long là vũ khí mang sức mạnh thần thánh của các hiệp sĩ thánh chiến.\nNó truyền tải sức mạnh thần thánh để tiêu diệt cái ác nhưng cũng thử thách sự thuần khiết của người cầm nó, bởi chỉ có những người chính trực mới có thể chống lại những lời thì thầm đen tối của nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Bậc Thầy Giáo (Javelin Master).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMALWDragonFist,Items,Weapons,,,"Găng Tay Vuốt Rồng"
SMALWDragonFistDesc,Items,Weapons,,,"Găng Tay Vuốt Rồng được rèn từ những chiếc nanh của một chúa tể rồng bị đánh bại, thấm đẫm cơn thịnh nộ rực lửa và sức mạnh vô song của con quái thú vào người đeo nó.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Võ Sĩ Cận Chiến (Brawler).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMABeonKnife,Items,Weapons,,,"Dao Găm Beon"
SMABeonKnifeDesc,Items,Weapons,,,"Dao Găm Beon, được rèn từ một loại pha lê xanh quý hiếm tìm thấy sâu trong những hang động băng giá của Dãy núi Aelorian, được cho là nắm giữ linh hồn của một vì sao sa. Ánh sáng thanh tao của nó không chỉ cắt qua da thịt mà còn cắt đứt cả những sợi chỉ của số phận, khiến nó trở thành vũ khí gây sợ hãi cho cả người phàm lẫn thần linh.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMASpearNew,Items,Weapons,,,"Bình Minh Của Valkyria"
SMASpearNewDesc,Items,Weapons,,,"Vũ khí huyền thoại này được cho là tỏa sáng rực rỡ với ánh sáng hồng của buổi sáng đầu tiên sau một trận chiến lớn, tượng trưng cho cả sự kết thúc của bóng tối và sức mạnh của sự tái sinh.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Bậc Thầy Giáo (Javelin Master).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAThunderBreaker,Items,Weapons,,,"Búa Phá Sấm Sét"
SMAThunderBreakerDesc,Items,Weapons,,,"Búa Phá Sấm Sét, cây búa chiến được rèn trong trung tâm của một cơn bão bởi chính các vị thần, truyền dẫn cơn thịnh nộ của tia chớp theo từng đòn đánh. Người ta nói rằng chỉ một cú nện cũng có thể đập nát núi non và triệu hồi bão tố, chỉ để lại những tiếng sét vang dội sau cơn càn quét.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Máy Nghiền Sọ (Skull Crusher).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMATwoHandedKatana,Items,Weapons,,,"Khúc Khải Hoàn Đỏ"
SMATwoHandedKatanaDesc,Items,Weapons,,,"Thanh kiếm huyền thoại này được cho là luôn cất lên một khúc hát tĩnh lặng và đầy ám ảnh về sự báo thù sau mỗi đòn đánh, ánh sáng đỏ của nó đánh dấu những khoảnh khắc cuối cùng của những kẻ ngã xuống trước lưỡi kiếm.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMASpineEdge,Items,Weapons,,,"Lưỡi Dao Xương Sống"
SMASpineEdgeDesc,Items,Weapons,,,"Lưỡi Dao Xương Sống, một con dao được rèn từ xương của một con rồng cổ đại, được cho là có thể làm tê liệt nạn nhân chỉ bằng một nhát chém. Thấm đẫm ma thuật hắc ám, lưỡi dao thì thầm về những khoảnh khắc cuối cùng của những kẻ đã bị nó hạ gục, khiến bất cứ ai nghe thấy bài ca chết chóc của nó đều phải lạnh sống lưng.\n\n\n\nChịu ảnh hưởng bởi kỹ năng Vết Cắt Sâu (Deep Cuts).\n\n\n\nDùng bộ dụng cụ sửa chữa huyền thoại để sửa."
SMAMace,Items,Weapons,,,"Vệ Binh Thạch Anh Tím"
