Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
foodSVETGFishSalmon,Items,Food,,,"Salmon","Лосось"
foodSVETGFishSalmonDesc,Items,Food,,,"A salmon is a silvery, migratory fish known for its distinctive life cycle that includes hatching in freshwater, migrating to the ocean, and returning to its birthplace to spawn.\n\n\n\n\n\n\nIt can be filleted on the cutting board.","Лосось — это серебристая мигрирующая рыба, известная своим уникальным жизненным циклом, который включает вылупление в пресной воде, миграцию в океан и возвращение на место рождения для нереста.\n\n\n\n\n\n\nЕго можно разделать на разделочной доске."
foodSVETGRawChicken,Items,Food,,,"Raw Chicken","Сырая курица"
foodSVETGRawChickenDesc,Items,Food,,,"Raw chicken breast is a lean, pale pink poultry cut that is boneless, skinless, and often used as a versatile protein source in various culinary dishes.","Куриная грудка — это постное, бледно-розовое мясо птицы без костей и кожи, часто используемое как универсальный источник белка в различных кулинарных блюдах."
foodSVETGRawSalmon,Items,Food,,,"Cut Salmon","Нарезанный лосось"
foodSVETGRawSalmonDesc,Items,Food,,,"Cut salmon is a rich, orange-pink fish fillet known for its tender texture, high omega-3 content, and versatility in various cooking methods such as grilling, baking, or sushi preparation.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Нарезанный лосось — это насыщенный оранжево-розовый филе рыбы, известный своей нежной текстурой, высоким содержанием омега-3 и универсальностью в различных способах приготовления, таких как гриль, запекание или приготовление суши.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawPork,Items,Food,,,"Raw Pork","Сырая свинина"
foodSVETGRawPorkDesc,Items,Food,,,"Raw pork is a light pink to reddish meat with a firm texture, often used in various cuisines and available in different cuts like chops, loins, and shoulders.","Сырая свинина — это светло-розовое или красноватое мясо с плотной текстурой, часто используемое в различных кухнях и доступное в разных видах нарезки, таких как отбивные, корейка и плечо."
foodSVETGRawBacon,Items,Food,,,"Raw Bacon","Сырой бекон"
foodSVETGRawBaconDesc,Items,Food,,,"Raw bacon is a cured and sliced pork belly with a characteristic marbled appearance of fat and meat, known for its rich flavor and crispy texture when cooked.","Сырой бекон — это обработанное и нарезанное свиное брюхо с характерным мраморным видом жира и мяса, известное своим насыщенным вкусом и хрустящей текстурой после приготовления."
foodSVETGRawChickenStripes,Items,Food,,,"Raw Chicken Strips","Сырые куриные полоски"
foodSVETGRawChickenStripesDesc,Items,Food,,,"Raw chicken strips are slender, boneless pieces of chicken breast or thigh meat, often used for quick cooking in stir-fries, salads, and various breaded or grilled dishes.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Сырые куриные полоски — это тонкие, бескостные кусочки куриной грудки или бедра, часто используемые для быстрого приготовления в жареных блюдах, салатах и различных панированных или гриль-блюдах.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawBeefStripes,Items,Food,,,"Raw Beef Strips","Сырые говяжьи полоски"
foodSVETGRawBeefStripesDesc,Items,Food,,,"Raw beef strips are thin, elongated slices of beef, typically cut from tender cuts like sirloin or flank, and are commonly used in stir-fries, fajitas, and other quick-cooking dishes.\n\n\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Сырые говяжьи полоски — это тонкие, удлиненные кусочки говядины, обычно нарезанные из мягких частей, таких как вырезка или боковой край, и часто используемые в жареных блюдах, тако и других быстрых блюдах.\n\n\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawBeefGround,Items,Food,,,"Raw ground Beef","Сырой говяжий фарш"
foodSVETGRawBeefGroundDesc,Items,Food,,,"Raw ground beef is finely chopped beef, usually with a specific fat content, that is versatile and commonly used in recipes like burgers, meatballs, and sauces.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Сырой говяжий фарш — это мелко нарезанная говядина, обычно с определенным содержанием жира, которая универсальна и часто используется в рецептах, таких как бургеры, котлеты и соусы.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"
foodSVETGRawPasta,Items,Food,,,"Raw Pasta","Сырая паста"
foodSVETGRawPastaDesc,Items,Food,,,"Raw pasta is dry, uncooked dough made from durum wheat and water, often shaped into various forms like spaghetti, penne, or fusilli, and needs to be boiled before consumption.\n\n\n\n\n\n\n\nCrafted in: Cutting Board","Сырая паста — это сухое, не приготовленное тесто, сделанное из твердой пшеницы и воды, часто формованное в различные формы, такие как спагетти, пенне или фузилли, и требует варки перед употреблением.\n\n\n\n\n\n\n\nИзготавливается на: Разделочной доске"

foodCropSVETGCabbage,Items,Food,,,"Cabbage","Капуста"
foodCropSVETGCabbageDesc,Items,Food,,,"Cabbage is a leafy green, red, or white vegetable with a dense, compact head, known for its crunchy texture and versatility in salads, stir-fries, and fermented dishes like sauerkraut and kimchi.","Капуста — это листовой зелёный, красный или белый овощ с плотной компактной головкой, известный своей хрустящей текстурой и универсальностью в салатах, жареных блюдах и ферментированных продуктах, таких как квашеная капуста и кимчи."
foodCropSVETGLime,Items,Food,,,"Lime","Лайм"
