Key,File,Type,UsedInMainMenu,NoTranslate,english,russian

creBoxOfMods,items,Item,,,Hộp Mod T1,Ящик с модификациями T1
creBoxOfModsDesc,items,Item,,,Bên trong chứa một mod T1 ngẫu nhiên.,Внутри лежит случайная модификация T1.
creBoxOfAmmo,items,Item,,,Hộp Đạn,Ящик с патронами
creBoxOfAmmoDesc,items,Item,,,Bên trong chứa vô số các loại đạn dược khác nhau.,Внутри лежит некоторое количество патронов.





modCreWeapDamageT1,items,Item,,,Mod Sát Thương T1,Мод. урона T1
modCreWeapDurabT1,items,Item,,,Mod Độ Bền T1,Мод. прочности T1

modCreGunRPMT1,items,Item,,,Mod Tốc Độ Bắn T1,Мод. скорострельности T1
modCreGunReloadT1,items,Item,,,Mod Nạp Đạn Nhanh T1,Мод. быстрой перезарядки T1
modCreGunMagazineT1,items,Item,,,Mod Băng Đạn Lớn T1,Мод. большого магазина T1
modCreGunGripT1,items,Item,,,Mod Tay Cầm Ổn Định T1,Мод. удобная рукоять T1
modCreGunRangeT1,items,Item,,,Mod Nâng Cấp Nòng Súng T1,Мод. улучшенного ствола T1
modCreGunShockT1,items,Item,,,Mod Súng Phóng Điện T1,Мод. шока для пушек T1
modCreGunBloodT1,items,Item,,,Mod Gây Chảy Máu T1,Мод. кровотечения для пушек T1

modCreBowStringT1,items,Item,,,Mod Dây Cung T1,Мод. тетивы для лука T1
modCreBowPowerT1,items,Item,,,Mod Lực Kéo Cung T1,Мод. мощи для лука T1

modCreMeleeAPMT1,items,Item,,,Mod Chuôi Cầm Thoải Mái T1,Мод. удобной рукоятки T1
modCreMeleeStaminaT1,items,Item,,,Mod Chuôi Bọc Cao Su T1,Мод. резиновой рукояткиT1
modCreMeleeBlockT1,items,Item,,,Mod Lưỡi Cắt Sắc Bén T1,Мод. острого лезвия T1
modCreMeleeFireT1,items,Item,,,Mod Rực Lửa T1,Мод. огня T1
modCreMeleeShockT1,items,Item,,,Mod Phóng Điện T1,Мод. шока T1
modCreMeleeBreakT1,items,Item,,,Mod Đập Phá T1,Мод. раскола T1





modCreWeapDamageT2,items,Item,,,Mod Sát Thương T2,Мод. урона T2
modCreWeapDurabT2,items,Item,,,Mod Độ Bền T2,Мод. прочности T2

modCreGunRPMT2,items,Item,,,Mod Tốc Độ Bắn T2,Мод. скорострельности T2
