Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

ammo762mmExplosiveFragmentations,items,gun,,7.62 Explosive Fragmentations,Đạn Nổ Mảnh 7.62mm,,,,,,,,,,,,,,
ammo762mmExplosiveFragmentationsDesc,items,gun,,"An Exotic ammunation.\nFilled with explosive inside the bullet.\nDeal High Damage on impact.\nDeal small explosive AOE (2 Blocks Diameter) .","Một loại đạn dị thường.\nĐược nhồi thuốc nổ bên trong đầu đạn.\nGây sát thương cao khi va chạm.\nGây sát thương nổ diện rộng nhỏ (Đường kính 2 Khối).",,,,,,,,,,,,,,
IZYgunT1SNIPERRIFLE762Mosinnagant,items,gun,,Mosin Nagant (T1),Súng Mosin Nagant (Bậc 1),,,,,,,,,,,,,,
IZYgunT1SNIPERRIFLE762MosinnagantDesc,items,gun,,"[00FF00]Weapon Type[-] : Sniper Rifle. \n[00FF00]Attribute[-] : Perception./[00FF00]Perk[-] : Dead Eye.\n[00FF00]Ammo/Cartridge[-] : 7.62mm.\n[00FF00]Repair tool[-] : Repair Kit.\n[00FF00]Material[-] : Rifle parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].","[00FF00]Loại Vũ Khí[-] : Súng Trường Bắn Tỉa. \n[00FF00]Thuộc Tính[-] : Cảm Nhận./[00FF00]Đặc Quyền[-] : Xạ Thủ Tử Thần.\n[00FF00]Đạn[-] : 7.62mm.\n[00FF00]Công Cụ Sửa Chữa[-] : Bộ Sửa Chữa.\n[00FF00]Nguyên Liệu[-] : Phụ tùng Súng Trường. \n[00FF00]Kỹ Năng Độc Nhất[-] : [ff8000]Không[-].",,,,,,,,,,,,,,
IZYgunT3SNIPERRIFLE762LeeEnfieldRifle,items,gun,,Enfield Rifle (T3),Súng Trường Enfield (Bậc 3),,,,,,,,,,,,,,
IZYgunT3SNIPERRIFLE762LeeEnfieldRifleDesc,items,gun,,"[00FF00]Weapon Type[-] : Sniper Rifle. \n[00FF00]Attribute[-] : Perception./[00FF00]Perk[-] : Dead Eye.\n[00FF00]Ammo/Cartridge[-] : 7.62mm.\n[00FF00]Repair tool[-] : Repair Kit.\n[00FF00]Material[-] : Rifle parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].","[00FF00]Loại Vũ Khí[-] : Súng Trường Bắn Tỉa. \n[00FF00]Thuộc Tính[-] : Cảm Nhận./[00FF00]Đặc Quyền[-] : Xạ Thủ Tử Thần.\n[00FF00]Đạn[-] : 7.62mm.\n[00FF00]Công Cụ Sửa Chữa[-] : Bộ Sửa Chữa.\n[00FF00]Nguyên Liệu[-] : Phụ tùng Súng Trường. \n[00FF00]Kỹ Năng Độc Nhất[-] : [ff8000]Không[-].",,,,,,,,,,,,,,
IZYgunT4SNIPERRIFLE762L96AWMRifle,items,gun,,L96 Rifle (T4),Súng Trường L96 (Bậc 4),,,,,,,,,,,,,,
IZYgunT4SNIPERRIFLE762L96AWMRifleDesc,items,gun,,"[00FF00]Weapon Type[-] : Sniper Rifle. \n[00FF00]Attribute[-] : Perception./[00FF00]Perk[-] : Dead Eye.\n[00FF00]Ammo/Cartridge[-] : 7.62mm.\n[00FF00]Repair tool[-] : Advanced Repair Kit.\n[00FF00]Material[-] : Rifle parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].","[00FF00]Loại Vũ Khí[-] : Súng Trường Bắn Tỉa. \n[00FF00]Thuộc Tính[-] : Cảm Nhận./[00FF00]Đặc Quyền[-] : Xạ Thủ Tử Thần.\n[00FF00]Đạn[-] : 7.62mm.\n[00FF00]Công Cụ Sửa Chữa[-] : Bộ Sửa Chữa Nâng Cao.\n[00FF00]Nguyên Liệu[-] : Phụ tùng Súng Trường. \n[00FF00]Kỹ Năng Độc Nhất[-] : [ff8000]Không[-].",,,,,,,,,,,,,,
IZYgunT2MarksManRifle762M1garandNavyconverted,items,gun,,M1N Reserve Rifle(T2),Súng Trường Dự Bị M1N (Bậc 2),,,,,,,,,,,,,,
