Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
Casino_Voltralux,POI,POIName,,x,Sòng Bạc Voltralux,,,,,,,,,,,,,
Alamo_Restaurant_Voltralux,POI,POIName,,x,Nhà Hàng Alamo,,,,,,,,,,,,,
Boxing_Gym_Voltralux,POI,POIName,,x,Phòng Tập Quyền Anh Misters,,,,,,,,,,,,,
Central_Station_Voltralux,POI,POIName,,x,Ga Trung Tâm,,,,,,,,,,,,,
Crash_Site_Voltralux,POI,POIName,,x,Khu Vực Rơi Máy Bay Bí Ẩn,,,,,,,,,,,,,
Eternal_Rests_Voltralux,POI,POIName,,x,Nghĩa Trang Eternal Rests,,,,,,,,,,,,,
Fastfood_Roosters_Voltralux,POI,POIName,,x,Thức Ăn Nhanh Roosters,,,,,,,,,,,,,
House_Atomic_01_Voltralux,POI,POIName,,x,Nơi Ở Của Người Sống Sót Duy Nhất,,,,,,,,,,,,,
KickFlipz_Skate_Store_Voltralux,POI,POIName,,x,Cửa Hàng Trượt Ván Kickflipz,,,,,,,,,,,,,
Liberty_Apartments_Voltralux,POI,POIName,,x,Chung Cư Liberty,,,,,,,,,,,,,
LittleItaly_Voltralux,POI,POIName,,x,Khu Tiểu Ý,,,,,,,,,,,,,
Mafia_Museum_Voltralux,POI,POIName,,x,Bảo Tàng Mafia,,,,,,,,,,,,,
Oasis_Apartments_Voltralux,POI,POIName,,x,Chung Cư Oasis,,,,,,,,,,,,,
Gun_Shop_Kendo_Voltralux,POI,POIName,,x,Cửa Hàng Súng Kendo,,,,,,,,,,,,,
RPD_Voltralux,POI,POIName,,x,Sở Cảnh Sát Raccoon,,,,,,,,,,,,,
Umbrella_Corp_Voltralux,POI,POIName,,x,Tập Đoàn Umbrella,,,,,,,,,,,,,
Video_Rental_Voltralux,POI,POIName,,x,Cửa Hàng Thuê Băng Videodrome,,,,,,,,,,,,,
Quick_Cabs_Voltralux,POI,POIName,,x,Hãng Taxi Quick Cabs,,,,,,,,,,,,,
Roadside_Haunt_Voltralux,POI,POIName,,x,Khu Nhà Ma Ven Đường,,,,,,,,,,,,,
WindFarm_Voltralux,POI,POIName,,x,Năng Lượng Blue Sky,,,,,,,,,,,,,
Zap_Arcade_Voltralux,POI,POIName,,x,Khu Máy Chơi Game Zap,,,,,,,,,,,,,
Paradise_Plaza_Voltralux,POI,POIName,,x,Quảng Trường Paradise,,,,,,,,,,,,,
Crystal_Creek_Voltralux,POI,POIName,,x,Khu Cắm Trại Crystal Creek,,,,,,,,,,,,,
Hallucigen_Inc_Voltralux,POI,POIName,,x,Công Ty HalluciGen,,,,,,,,,,,,,
Community_Centre_Voltralux,POI,POIName,,x,Nhà Văn Hóa Cộng Đồng,,,,,,,,,,,,,
OldSlotMachineVLD,blocks,Container,,,Máy Đánh Bạc Cũ,,,,,,,,,,,,,
OldSlotMachineOpenVLD,blocks,Container,,,Máy Đánh Bạc Cũ,,,,,,,,,,,,,
OldSlotMachineEmptyVLD,blocks,Block,,,Máy Đánh Bạc Cũ,,,,,,,,,,,,,
OldSlotMachineEmptyOffVLD,blocks,Block,,,Máy Đánh Bạc Cũ,,,,,,,,,,,,,
OldSlotMachineEmptyOffLitVLD,blocks,Block,,,Máy Đánh Bạc Cũ,,,,,,,,,,,,,
VintageSlotMachineVLD,blocks,Container,,,Máy Đánh Bạc Cổ Điển,,,,,,,,,,,,,
VintageSlotMachineOpenVLD,blocks,Container,,,Máy Đánh Bạc Cổ Điển,,,,,,,,,,,,,
VintageSlotMachineEmptyVLD,blocks,Block,,,Máy Đánh Bạc Cổ Điển,,,,,,,,,,,,,
OldRouletteTableVLD,blocks,Block,,,Bàn Roulette Cũ,,,,,,,,,,,,,
OldPokerTableRoundVLD,blocks,Block,,,Bàn Poker Cũ,,,,,,,,,,,,,
PokerTableVLD,blocks,Block,,,Bàn Poker,,,,,,,,,,,,,
OldLuggageTrolleyVLD,blocks,Block,,,Xe Đẩy Hành Lý Cũ,,,,,,,,,,,,,
OldLuggageTrolleyEmptyVLD,blocks,Block,,,Xe Đẩy Hành Lý Cũ,,,,,,,,,,,,,
OldCameraVLM,blocks,Block,,,Máy Ảnh Cũ,,,,,,,,,,,,,
MopBucketVLD,blocks,Block,,,Xô Lau Nhà,,,,,,,,,,,,,
WoodenLeatherBenchVLD,blocks,Block,,,Ghế Dài Gỗ Bọc Da,,,,,,,,,,,,,
RecordsCabinetVLD,blocks,Container,,,Tủ Đựng Hồ Sơ/Đĩa Hát,,,,,,,,,,,,,
OldRockingHorseVLD,blocks,Block,,,Ngựa Bập Bênh Cũ,,,,,,,,,,,,,
WW2EraFridgeSmokedVLD,blocks,Container,,,Tủ Lạnh Trắng Bẩn,,,,,,,,,,,,,
WW2EraFridgeVLD,blocks,Container,,,Tủ Lạnh Trắng,,,,,,,,,,,,,
RetroFridgeRedMossyVLD,blocks,Container,,,Tủ Lạnh Retro Đỏ Bẩn,,,,,,,,,,,,,
RetroFridgeRedVLD,blocks,Container,,,Tủ Lạnh Retro Đỏ,,,,,,,,,,,,,
JukeBoxVLD,blocks,Block,,,Máy Phát Nhạc Tự Động (Jukebox),,,,,,,,,,,,,
SkateboardFishVLD,blocks,Block,,,Ván Trượt Fish,,,,,,,,,,,,,
SkateboardFabVLD,blocks,Block,,,Ván Trượt Fabulous,,,,,,,,,,,,,
SkateboardSkeleVLD,blocks,Block,,,Ván Trượt Bộ Xương,,,,,,,,,,,,,
SkateboardHotDogVLD,blocks,Block,,,Ván Trượt Hot Dog,,,,,,,,,,,,,
ChalkBoardVLD,blocks,Block,,,Bảng Phấn,,,,,,,,,,,,,
ArtDecoFrameDD5,blocks,Block,,,Áp Phích Chim Bồ Nông,,,,,,,,,,,,,
ArtDecoFrameDD4,blocks,Block,,,Áp Phích Tàu Hỏa,,,,,,,,,,,,,
ArtDecoFrameDD3,blocks,Block,,,Áp Phích Rượu Cordial,,,,,,,,,,,,,
MilkshakePosterVLD,blocks,Block,,,Áp Phích Milkshake,,,,,,,,,,,,,
MusicPosterVLD,blocks,Block,,,Áp Phích Âm Nhạc,,,,,,,,,,,,,
PancakePosterVLD,blocks,Block,,,Áp Phích Bánh Pancake,,,,,,,,,,,,,
CoffeePosterVLD,blocks,Block,,,Hình Dán Cà Phê,,,,,,,,,,,,,
SausagePosterVLD,blocks,Block,,,Hình Dán Deli/Xúc Xích,,,,,,,,,,,,,
PartyPosterVLD,blocks,Block,,,Áp Phích Tiệc Retro,,,,,,,,,,,,,
Route66PosterVLD,blocks,Block,,,Hình Dán Tuyến Đường 66,,,,,,,,,,,,,
BestTownPosterVLD,blocks,Block,,,Áp Phích Thực Đơn Ngon Nhất,,,,,,,,,,,,,
RPDLionDeco,blocks,Block,,,Tượng Sư Tử RPD,,,,,,,,,,,,,
RPDHorseDeco,blocks,Block,,,Tượng Ngựa RPD,,,,,,,,,,,,,
RPDBureauDeskVLM,blocks,Block,,,Bàn Làm Việc Bureau,,,,,,,,,,,,,
RPDBureauDeskLootedVLM,blocks,Block,,,Bàn Làm Việc Bureau (Đã Mở),,,,,,,,,,,,,
DesktopPCVLD,blocks,Block,,,Máy Tính Để Bàn Cũ,,,,,,,,,,,,,
DeskPhoneVLD,blocks,Block,,,Điện Thoại Bàn,,,,,,,,,,,,,
DeskPhoneBrokenVLD,blocks,Block,,,Điện Thoại Bàn Hỏng,,,,,,,,,,,,,
NeonLightCatVLD,blocks,Block,,,Đèn Neon Mèo May Mắn,,,,,,,,,,,,,
NeonLightCatAVLD,blocks,Block,,,Đèn Neon Mèo May Mắn,,,,,,,,,,,,,
NeonLightApolloVLD,blocks,Block,,,Đèn Neon Apollo,,,,,,,,,,,,,
NeonLightRockVLD,blocks,Block,,,Đèn Neon Rock and Roll,,,,,,,,,,,,,
NeonLightPlantVLD,blocks,Block,,,Đèn Neon Cây Cảnh,,,,,,,,,,,,,
NeonLightTapeVLD,blocks,Block,,,Đèn Neon Băng Cassette,,,,,,,,,,,,,
OrnamentalGlobeVLD,blocks,Block,,,Quả Địa Cầu Trang Trí,,,,,,,,,,,,,
TapeRecorderVLD,blocks,Block,,,Máy Ghi Âm,,,,,,,,,,,,,
TowelRackVLD,blocks,Block,,,Giá Treo Khăn,,,,,,,,,,,,,
TeddyBearVLD,blocks,Block,,,Gấu Bông,,,,,,,,,,,,,
OldCameraVLD,blocks,Block,,,Máy Quay Phim,,,,,,,,,,,,,
EvidencePinboardVLD,blocks,Block,,,Bảng Ghim Chứng Cứ,,,,,,,,,,,,,
BrokenPhoneBoothVLD,blocks,Block,,,Buồng Điện Thoại Công Cộng Hỏng,,,,,,,,,,,,,
BrassAngelVLD,blocks,Block,,,Tượng Thiên Thần Bằng Đồng,,,,,,,,,,,,,
CBRadioVLD,blocks,Block,,,Đài Radio CB,,,,,,,,,,,,,
FaxMachineVLD,blocks,Block,,,Máy Fax,,,,,,,,,,,,,
LawnFlamingoVLD,blocks,Block,,,Chim Hồng Hạc Trang Trí Sân Cỏ,,,,,,,,,,,,,
ArcadeMachine01VLD,blocks,Block,,,Máy Điện Tử Thùng Invaders,,,,,,,,,,,,,
ArcadeMachine01OpenVLD,blocks,Block,,,Máy Điện Tử Thùng Invaders,,,,,,,,,,,,,
ArcadeMachine01LootedVLD,blocks,Block,,,Máy Điện Tử Thùng Invaders,,,,,,,,,,,,,
ArcadeMachine02VLD,blocks,Block,,,Máy Điện Tử Thùng Driver,,,,,,,,,,,,,
ArcadeMachine02OpenVLD,blocks,Block,,,Máy Điện Tử Thùng Driver,,,,,,,,,,,,,
ArcadeMachine02LootedVLD,blocks,Block,,,Máy Điện Tử Thùng Driver,,,,,,,,,,,,,
ArcadeMachine03VLD,blocks,Block,,,Máy Điện Tử Thùng NCA,,,,,,,,,,,,,
ArcadeMachine03OpenVLD,blocks,Block,,,Máy Điện Tử Thùng NCA,,,,,,,,,,,,,
ArcadeMachine03LootedVLD,blocks,Block,,,Máy Điện Tử Thùng NCA,,,,,,,,,,,,,
ArcadeMachine04VLD,blocks,Block,,,Máy Điện Tử Thùng Munkee,,,,,,,,,,,,,
ArcadeMachine04OpenVLD,blocks,Block,,,Máy Điện Tử Thùng Munkee,,,,,,,,,,,,,
ArcadeMachine04LootedVLD,blocks,Block,,,Máy Điện Tử Thùng Munkee,,,,,,,,,,,,,
ArcadeMachine05VLD,blocks,Block,,,Máy Điện Tử Thùng Fury,,,,,,,,,,,,,
ArcadeMachine05OpenVLD,blocks,Block,,,Máy Điện Tử Thùng Fury,,,,,,,,,,,,,
ArcadeMachine05LootedVLD,blocks,Block,,,Máy Điện Tử Thùng Fury,,,,,,,,,,,,,
ArcadeMachine06VLD,blocks,Block,,,Máy Điện Tử Thùng Commander,,,,,,,,,,,,,
ArcadeMachine06OpenVLD,blocks,Block,,,Máy Điện Tử Thùng Commander,,,,,,,,,,,,,
ArcadeMachine06LootedVLD,blocks,Block,,,Máy Điện Tử Thùng Commander,,,,,,,,,,,,,
MapTableVLD,blocks,Block,,,Bàn Bản Đồ,,,,,,,,,,,,,
KatanaDisplayVLD,blocks,Block,,,Giá Trưng Bày Kiếm Katana,,,,,,,,,,,,,
ChalkBoardVLD,blocks,Block,,,Bảng Phấn,,,,,,,,,,,,,
PlateTrophyVLD,blocks,Block,,,Cúp Đĩa Lưu Niệm,,,,,,,,,,,,,
NewspaperStackVLD,blocks,Block,,,Chồng Báo,,,,,,,,,,,,,
WW2CouchVLD,blocks,Block,,,Ghế Sofa Da Cũ,,,,,,,,,,,,,
SlotMachinePinkVLD,blocks,Block,,,Máy Đánh Bạc Trái Cây,,,,,,,,,,,,,
GoldBrickStackVL,blocks,Container,,,Chồng Thỏi Vàng,,,,,,,,,,,,,
LargeGoldBrickStackVL,blocks,Container,,,Chồng Thỏi Vàng Lớn,,,,,,,,,,,,,
TrainingDummyVLD,blocks,Block,,,Hình Nhân Tập Luyện,,,,,,,,,,,,,
Football01VLD,blocks,Block,,,Quả Bóng Đá Chuyên Nghiệp,,,,,,,,,,,,,
Football02VLD,blocks,Block,,,Quả Bóng Đá Cổ Điển,,,,,,,,,,,,,
Football03VLD,blocks,Block,,,Quả Bóng Chuyền,,,,,,,,,,,,,
USFootball01VLD,blocks,Block,,,Quả Bóng Bầu Dục,,,,,,,,,,,,,
Basketball01VLD,blocks,Block,,,Quả Bóng Rổ,,,,,,,,,,,,,
FootballHelmet01VLD,blocks,Block,,,Mũ Bảo Hiểm Bóng Bầu Dục (Xanh),,,,,,,,,,,,,
FootballHelmet02VLD,blocks,Block,,,Mũ Bảo Hiểm Bóng Bầu Dục (Đỏ),,,,,,,,,,,,,
FootballPads01VLD,blocks,Block,,,Giáp Vai Bóng Bầu Dục (Xanh),,,,,,,,,,,,,
FootballPads02VLD,blocks,Block,,,Giáp Vai Bóng Bầu Dục (Cam),,,,,,,,,,,,,
FootballPads03VLD,blocks,Block,,,Giáp Vai Bóng Bầu Dục (Xanh Lá),,,,,,,,,,,,,
