Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

recycledAmmoSonjaDesc,items,item,,,A bunch of materials obtained from recycling ammunition inside a convenient package.\nYou are lucky it did not explode on your face.\n\nOPEN it to get the materials.,,,,,,,,,,,,,
recycledAmmoSonja9mm,items,item,,,Recycled 9mm Ammo,,,,,,,,,,,,,
recycledAmmoSonja9mmHP,items,item,,,Recycled 9mm HP Ammo,,,,,,,,,,,,,
recycledAmmoSonja9mmAP,items,item,,,Recycled 9mm AP Ammo,,,,,,,,,,,,,
recycledAmmoSonja44,items,item,,,Recycled Magnum .44 Ammo,,,,,,,,,,,,,
recycledAmmoSonja44HP,items,item,,,Recycled Magnum .44 HP Ammo,,,,,,,,,,,,,
recycledAmmoSonja44AP,items,item,,,Recycled Magnum .44 AP Ammo,,,,,,,,,,,,,
recycledAmmoSonja762,items,item,,,Recycled 7.62 Ammo,,,,,,,,,,,,,
recycledAmmoSonja762HP,items,item,,,Recycled 7.62 HP Ammo,,,,,,,,,,,,,
recycledAmmoSonja762AP,items,item,,,Recycled 7.62 AP Ammo,,,,,,,,,,,,,
recycledAmmoSonjaShell,items,item,,,Recycled Shotgun Shells,,,,,,,,,,,,,
recycledAmmoSonjaSlug,items,item,,,Recycled Shotgun Slugs,,,,,,,,,,,,,
recycledAmmoSonjaBreachingSlug,items,item,,,Recycled Shotgun Breaching Slugs,,,,,,,,,,,,,
recycledAmmoSonjaRocketFrag,items,item,,,Recycled Rocket Frags,,,,,,,,,,,,,
recycledAmmoSonjaRocketHE,items,item,,,Recycled Rocket HE,,,,,,,,,,,,,
recycledAmmoSonjathrownGrenade,items,item,,,Recycled Grenades,,,,,,,,,,,,,
recycledAmmoSonjathrownContactGrenade,items,item,,,Recycled Contact Grenades,,,,,,,,,,,,,
recycledAmmoSonjaJunkTurretRegular,items,item,,,Recycled Junk Turret Ammo,,,,,,,,,,,,,
recycledAmmoSonjaJunkTurretShell,items,item,,,Recycled Junk Turret Shells,,,,,,,,,,,,,
recycledAmmoSonjaJunkTurretAP,items,item,,,Recycled Junk Turret AP Ammo,,,,,,,,,,,,,

recycledAmmoSonjaIZ556,items,item,,,Recycled 5.56 Ammo,,,,,,,,,,,,,
recycledAmmoSonjaIZ556HP,items,item,,,Recycled 5.56 HP Ammo,,,,,,,,,,,,,
recycledAmmoSonjaIZ556AP,items,item,,,Recycled 5.56 AP Ammo,,,,,,,,,,,,,
recycledAmmoSonjaIZ45ACP,items,item,,,Recycled 45 ACP Ammo,,,,,,,,,,,,,
recycledAmmoSonjaIZ45ACPHP,items,item,,,Recycled 45 ACP HP Ammo,,,,,,,,,,,,,
recycledAmmoSonjaIZ45ACPAP,items,item,,,Recycled 45 ACP AP Ammo,,,,,,,,,,,,,
