Key,english
gunppsh41,"PPSh-41 7.62x25 submachine gun"
gunppsh41Desc,"Weight: 4.4kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 39[-]\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF]9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunpp9klin,"PP-9 Klin 9x18PM submachine gun'"
gunpp9klinDesc,"Weight: 1.86kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 67\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×18mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunmp5k,"HK MP5K 9x19 submachine gun"
gunmp5kDesc,"Weight: 2.09kg\nFiremodes: Full-auto, Semi-auto, 3-round burst\nUse 'Z' Key to switch firemode\nBase ergonomics: 71\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunmp5,"HK MP5 9x19 submachine gun[-]"
gunmp5Desc,"Weight: 2.67kg\nFiremodes: Full-auto, Semi-auto, 3-round burst\nUse 'Z' Key to switch firemode\nBase ergonomics: 70\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]\nRequires a grip to equip flashlights/lasers and C-Mag"

gunuzi,"IWI UZI 9x19 submachine gun[-]"
gunuziDesc,"Weight: 3.8kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 73\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunpp19vityaz,"PP-19-01 Vityaz 9x19 submachine gun'[-]"
gunpp19vityazDesc,"Weight: 3.0kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 68\\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers"

gunmp9,"B&T MP9-N 9x19 submachine gun[-]"
gunmp9Desc,"Weight: 1.55kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 88\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunuziprosmg,"IWI UZI PRO SMG 9x19 submachine gun[-]"
gunuziprosmgDesc,"Weight: 2.38kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 93\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunmp5sd,"HK MP5SD 9x19 submachine gun[-]"
gunmp5sdDesc,"Weight: 3.01kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 60\nIntegrally suppressed, more effective sound suppression.\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]\nHas an [4FBE28]Integrated Suppressor[-]"

gunvector9,"TDI KRISS Vector Gen.2 9x19 submachine gun[-]"
gunvector9Desc,"Weight: 2.8kg\nFiremodes: Full-auto, Semi-auto, 2-round burst\nUse 'Z' Key to switch firemode\nBase ergonomics: 65\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunmpx,"SIG MPX 9x19 submachine gun[-]"
gunmpxDesc,"Weight: 2.84kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 75\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunstm9,"Soyuz-TM STM-9 Gen.2 9x19 carbine[-]"
gunstm9Desc,"Weight: 2.45kg\nFiremodes: Semi-auto\nBase ergonomics: 72\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunsr2mveresk,"SR-2M Veresk 9x21 submachine gun'[-]"
gunsr2mvereskDesc,"Weight: 2kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 82\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×21mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunump45,"HK UMP .45 ACP submachine gun[-]"
gunump45Desc,"Weight: 2.6kg\nFiremodes: Full-auto, Semi-auto\nUse 'Z' Key to switch firemode\nBase ergonomics: 55\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]SMG Repair Kit[-]"

gunthompson,"Colt M1921A Thompson .45 ACP submachine gun[-]"
