Key,english
firemode_fa,"[D3CE1D]Tự động hoàn toàn[-]"
firemode_2rb,"[D3CE1D]Bắn loạt 2 viên[-]"
firemode_3rb,"[D3CE1D]Bắn loạt 3 viên[-]"
firemode_5rb,"[D3CE1D]Bắn loạt 5 viên[-]"
firemode_sa,"[D3CE1D]Bán tự động[-]"

# 09FF00 2
# 004CFF 3
# BB00FF 4
# FFD700 5
# 4FBE28 green
# FF4F33 red
# FE7B7C Salmon Pink
# FFEB04 Yellow (7DtD Settings Menu)

resourceSMGParts,"Phụ tùng Súng tiểu liên"
resourceSMGPartsDesc,"Được sử dụng để chế tạo Súng tiểu liên"

resourceRevolverParts,"Phụ tùng Súng lục ổ quay"
resourceRevolverPartsDesc,"Được sử dụng để chế tạo Súng lục ổ quay"

resourceSMGRepairKit,"Bộ dụng cụ sửa chữa Súng tiểu liên"
resourceSMGRepairKitDesc,"Được sử dụng để sửa chữa Súng tiểu liên"

resourcePistolRepairKit,"Bộ dụng cụ sửa chữa Súng lục"
resourcePistolRepairKitDesc,"Được sử dụng để sửa chữa Súng lục"

resourceRevolverRepairKit,"Bộ dụng cụ sửa chữa Súng lục ổ quay"
resourceRevolverRepairKitDesc,"Được sử dụng để sửa chữa Súng lục ổ quay"

resourceShotgunRepairKit,"Bộ dụng cụ sửa chữa Súng Shotgun"
resourceShotgunRepairKitDesc,"Được sử dụng để sửa chữa Súng Shotgun"

resourceLauncherRepairKit,"Bộ dụng cụ sửa chữa Súng phóng lựu"
resourceLauncherRepairKitDesc,"Được sử dụng để sửa chữa Súng phóng lựu"

resourceRifleRepairKit,"Bộ dụng cụ sửa chữa Súng trường"
resourceRifleRepairKitDesc,"Được sử dụng để sửa chữa Súng trường"

resourceMachineGunRepairKit,"Bộ dụng cụ sửa chữa Súng máy"
resourceMachineGunRepairKitDesc,"Được sử dụng để sửa chữa Súng máy"

modArmorHelmetLight,"Đèn mũ bảo hiểm cũ"
modArmorHelmetLight2,"Đèn mũ bảo hiểm"
modArmorHelmetLight3,"Đèn mũ bảo hiểm 'Lumen'"
modArmorHelmetLightDesc,"Một nguồn sáng cũ và yếu có thể được lắp vào bất kỳ loại giáp đầu nào.\nSử dụng hành động Nguồn sáng ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) để kích hoạt."
modArmorHelmetLight2Desc,"Một nguồn sáng có thể được lắp vào bất kỳ loại giáp đầu nào.\nSử dụng hành động Nguồn sáng ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) để kích hoạt."
modArmorHelmetLight3Desc,"Một nguồn sáng rất rực rỡ có thể được lắp vào bất kỳ loại giáp đầu nào.\nSử dụng hành động Nguồn sáng ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) để kích hoạt."
modArmorNightVision,"PVS 7 Gen 2"
modArmorNightVision2,"PVS 14 Gen 3"
modArmorNightVision3,"Kính nhìn đêm Kỹ thuật số Opsin"
modArmorNightVisionDesc,"Nhìn trong bóng tối với phụ tùng giáp đầu nhìn ban đêm này.\nSử dụng hành động Nguồn sáng ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) để kích hoạt."
modArmorNightVision2Desc,"Nhìn trong bóng tối với phụ tùng giáp đầu nhìn ban đêm này.\nSử dụng hành động Nguồn sáng ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) để kích hoạt."
modArmorNightVision3Desc,"Nhìn trong bóng tối với phụ tùng giáp đầu nhìn ban đêm công nghệ cao này.\nSử dụng hành động Nguồn sáng ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) để kích hoạt."

modtacticalHolosunLS321,"Thiết bị chiến thuật Holosun LS321"
modtacticalHolosunLS321Desc,"Trọng lượng: 0.190kg\nCông thái học:-1\nCải thiện độ chính xác khi bắn không ngắm (kém hiệu quả hơn trên súng shotgun).\nHolosun LS321 là thiết bị chiến thuật đa laser với laser xanh lục trong quang phổ ánh sáng nhìn thấy. Laser tích hợp có màu xanh lục. "
modtacticalNCStarBlueLaser,"Laser xanh lam chiến thuật NcSTAR"
modtacticalNCStarBlueLaserDesc,"Trọng lượng: 0.050kg\nCông thái học:-1\nCải thiện độ chính xác khi bắn không ngắm (kém hiệu quả hơn trên súng shotgun).\nMô-đun ngắm laser chiến thuật nhỏ gọn với chấm xanh lam. Gắn được trên mọi thanh ray Picatinny/Weaver để bắt mục tiêu chính xác. Sản xuất bởi NcSTAR. Laser tích hợp có màu xanh lam. "

modtacticalANPEQ15,"Thiết bị chiến thuật L3Harris AN/PEQ-15"
modtacticalANPEQ15Desc,"Trọng lượng: 0.210kg\nCông thái học:-1\nCải thiện độ chính xác khi bắn không ngắm (kém hiệu quả hơn trên súng shotgun).\nLaser ngắm chiếu sáng chỉ thị mục tiêu nâng cao (ATPIAL) hay 'PEQ-15' do L3 Technologies sản xuất. Thiết bị chiến thuật này là một hệ thống ngắm bền bỉ, đã được kiểm chứng trong chiến đấu và dễ sử dụng. Laser tích hợp có màu đỏ. "
modtacticalFlashlightSurefireX400,"Đèn pin/Laser chiến thuật SureFire X400 Ultra"
modtacticalFlashlightSurefireX400Desc,"Trọng lượng: 0.140kg\nCông thái học:-1\nCải thiện độ chính xác khi bắn không ngắm (kém hiệu quả hơn trên súng shotgun).\nĐèn pin X400U của SureFire được thiết kế để lắp vừa hầu hết mọi loại súng lục hoặc súng trường có thanh ray. Kết hợp chỉ thị laser và đèn pin. Laser tích hợp có màu đỏ.\nNhấn hoặc Giữ 'F' để bật/tắt đèn pin\nTầm chiếu sáng tối đa 45m, cường độ sáng vừa phải với vùng phủ sáng rộng (nguồn sáng có màu xanh lam)."
modtacticalFlashlightSurefireXC1,"Đèn pin chiến thuật SureFire XC1"
modtacticalFlashlightSurefireXC1Desc,"Trọng lượng: 0.050kg\nCông thái học:-1\nĐèn pin LED chiến thuật nhỏ gọn, do SureFire sản xuất.\nNhấn hoặc Giữ 'F' để bật/tắt đèn pin.\nTầm chiếu sáng tối đa 30m, cường độ sáng vừa phải với vùng phủ sáng vừa phải."
modtacticalFlashlightZenit2U,"Đèn pin chiến thuật Zenit Klesch-2U"
modtacticalFlashlightZenit2UDesc,"Trọng lượng: 0.260kg\nCông thái học:-2\nĐèn pin LED chiến thuật 'Klesch-2U' có ngàm gắn thanh ray Picatinny, được thiết kế để phát hiện và chiếu sáng mục tiêu (vật thể) khi quan sát, kiểm tra và bắn vào ban đêm cũng như trong điều kiện hạn chế tầm nhìn. Sản xuất bởi Zenit.\nNhấn hoặc Giữ 'F' để bật/tắt đèn pin.\nTầm chiếu sáng tối đa 35m, cường độ sáng rất cao với vùng phủ sáng rất rộng."
modtacticalFlashlightArmyTekPredator,"Đèn pin Armytek Predator Pro v3 XHP35 HI"
modtacticalFlashlightArmyTekPredatorDesc,"Trọng lượng: 0.210kg\nCông thái học:-2\nMột chiếc đèn pin mạnh mẽ trong một khung vỏ siêu bền, do Armytek sản xuất.\nNhấn hoặc Giữ 'F' để bật/tắt đèn pin.\nTầm chiếu sáng tối đa 65m, cường độ sáng cao với vùng phủ sáng vừa phải."
modtacticalFlashlightUltraFire,"Đèn pin Ultrafire WF-501B"
modtacticalFlashlightUltraFireDesc,"Trọng lượng: 0.210kg\nCông thái học:-2\nMột chiếc đèn pin LED đơn giản nhưng mạnh mẽ với thân máy chắc chắn, đủ bền để sử dụng hàng ngày trong thời gian dài.\nNhấn hoặc Giữ 'F' để bật/tắt đèn pin.\nTầm chiếu sáng tối đa 65m, cường độ sáng cao với vùng phủ sáng vừa phải (nguồn sáng có màu xanh lam)."
modtacticalFlashlightWMX200,"Đèn pin chiến thuật Insight WMX200"
modtacticalFlashlightWMX200Desc,"Trọng lượng: 0.210kg\nCông thái học:-2\nĐèn pin chiến thuật WMX200 do Insight Technologies sản xuất, kết hợp giữa đèn pin thông thường và đèn rọi hồng ngoại (IR).\nNhấn hoặc Giữ 'F' để bật/tắt đèn pin.\nTầm chiếu sáng tối đa 80m, cường độ sáng cao với vùng phủ sáng vừa phải."

modmount_shotgun_shell_holder,"Khay chứa đạn gắn trên thân súng Shotgun"
modmount_shotgun_shell_holderDesc,"Khay chứa đạn gắn trên thân súng, tương thích với súng shotgun nạp đạn kiểu bơm (pump-action). Cải thiện 15% tốc độ nạp đạn."
modbipod_all_atlas_v8_bt10,"Chân chống BT10 V8 Atlas"
modbipod_all_atlas_v8_bt10Desc,"Trọng lượng: 0.310kg\nCông thái học:-3\nGiảm 30% độ giật và không tiêu hao thể lực khi ngắm nếu: chân chống được mở ra (Nhấn hoặc Giữ 'F' để mở), đang ngồi xổm và đứng yên.\nTương thích với hầu hết súng trường, MPX và Saiga12K."
modtactickitSKSTAPCO,"Bộ nâng cấp SKS TAPCO Intrafuse"
modtactickitSKSTAPCODesc,"Tổng trọng lượng thêm vào: 0.650kg\nCông thái học:+24\nĐộ giật:-15\nNâng cấp SKS Carbine với bộ phụ kiện từ TAPCO, bao gồm: khung súng, ống đệm báng súng (buffer tube), tay cầm súng lục và các thanh ray. Tăng tính mô-đun, cho phép gắn nhiều phụ kiện hơn lên khẩu carbine này như: thiết bị chiến thuật, chân chống, tay cầm trước và báng súng kiểu AR-15."
modtactickitDSARPD,"Phụ tùng DSA RPD"
modtactickitDSARPDDesc,"Công thái học:+10\nNâng cấp Súng máy hạng nhẹ RPD với bộ phụ kiện từ DS Arms, bao gồm: cụm cò được chuyển đổi để lắp ống đệm báng súng và báng súng AR-15, tay cầm súng lục và ốp lót tay có 4 thanh ray. Tăng tính mô-đun, cho phép gắn nhiều phụ kiện hơn lên khẩu súng máy hạng nhẹ này như: thiết bị chiến thuật, tay cầm trước và báng súng kiểu AR-15."
modlauncher_ar15_colt_m203_40x46_model,"Súng phóng lựu kẹp nòng 40mm M203"
modlauncher_ar15_colt_m203_40x46_modelDesc,"Trọng lượng: 2.920kg\nCông thái học:-41\nĐộ giật:-10\nSử dụng đạn: Lựu đạn 40x46mm\nSúng phóng lựu kẹp nòng 40mm bắn phát một, được thiết kế để lắp đặt trên súng trường tấn công M16 và M4 bằng cách kẹp vào nòng súng.\nNhấn phím 'X' để chuyển đổi giữa chế độ súng/chế độ phóng lựu.\nTương thích với các biến thể M4A1 và M16."
modlauncher_ak_toz_gp25_40_vog,"Súng phóng lựu kẹp nòng 40mm GP-25 Kostyor"
modlauncher_ak_toz_gp25_40_vogDesc,"Trọng lượng: 2.920kg\nCông thái học:-35\nĐộ giật:-8\nSử dụng đạn: Lựu đạn 40x53mm VOG-25\nSúng phóng lựu kẹp nòng dành cho lựu đạn 40mm VOG-25, được thiết kế để lắp đặt trên tất cả các loại súng trường AK chiều dài tiêu chuẩn.\nNhấn phím 'X' để chuyển đổi giữa chế độ súng/chế độ phóng lựu.\nTương thích với các dòng súng trường AK chiều dài tiêu chuẩn."
modhandguard_uzi_iwi_vertical_grip_railed,"Ốp lót tay UZI kèm tay cầm trước"
modhandguard_uzi_iwi_vertical_grip_railedDesc,"Trọng lượng: 0.180kg\nCông thái học:+7\nĐộ giật:-2\nỐp lót tay tích hợp tay cầm trước thẳng đứng và các khe cắm thanh ray hai bên dành cho súng tiểu liên UZI, cho phép lắp đặt các thiết bị chiến thuật. Sản xuất bởi Israel Weapon Industries."
modforegrip_all_hk_sturmgriff_assault_grip,"Tay cầm trước HK Sturmgriff"
modforegrip_all_hk_sturmgriff_assault_gripDesc,"Trọng lượng: 0.070kg\nCông thái học:+10\nTay cầm trước thẳng đứng Sturmgriff. Sản xuất bởi Heckler & Koch. Cho phép lắp thêm phụ kiện như thiết bị chiến thuật trên các ốp lót tay ngắn hơn bằng cách cung cấp thêm không gian để cầm nắm vũ khí."
modforegrip_all_magpul_rvg,"Tay cầm trước Magpul RVG"
modforegrip_all_magpul_rvgDesc,"Trọng lượng: 0.080kg\nCông thái học:+7\nĐộ giật:-3\nTay cầm chiến thuật Magpul RVG (Rail Vertical Grip). Cho phép lắp thêm phụ kiện như thiết bị chiến thuật trên các ốp lót tay ngắn hơn bằng cách cung cấp thêm không gian để cầm nắm vũ khí."
modforegrip_all_zenit_rk_1,"Tay cầm trước chiến thuật Zenit RK-1"
modforegrip_all_zenit_rk_1Desc,"Trọng lượng: 0.170kg\nCông thái học:+3\nĐộ giật:-7\nTay cầm trước RK-1 có thể được lắp ở phần dưới của ốp lót tay với thanh ray Weaver. Nó giúp kiểm soát vũ khí tốt hơn khi bắn. Sản xuất bởi Zenit. Cho phép lắp thêm phụ kiện như thiết bị chiến thuật trên các ốp lót tay ngắn hơn bằng cách cung cấp thêm không gian để cầm nắm vũ khí."
modforegrip_all_zenit_b25u_rk_1,"Tay cầm trước chiến thuật Zenit RK-1 trên ngàm B-25U"
modforegrip_all_zenit_b25u_rk_1Desc,"Trọng lượng: 0.180kg\nCông thái học:+5\nĐộ giật:-5\nTay cầm trước RK-1 có thể được lắp ở phần dưới của ốp lót tay với thanh ray Weaver. Nó giúp kiểm soát vũ khí tốt hơn khi bắn. Được lắp trên ngàm B-25U để dễ dàng xử lý các loại súng máy LMG hơn. Sản xuất bởi Zenit. Cho phép lắp thêm phụ kiện như thiết bị chiến thuật trên các ốp lót tay ngắn hơn bằng cách cung cấp thêm không gian để cầm nắm vũ khí."

modscopePU3_5x,"Ống ngắm PU 3.5x"
modscopePU3_5xDesc,"Trọng lượng: 0.440kg\nCông thái học:-5\nTương thích: Mosin Nagant, SVT-40"
modscopeaimpointAcroP1,"Kính ngắm phản xạ nhỏ gọn Aimpoint ACRO P-1"
modscopeaimpointAcroP1Desc,"Trọng lượng: 0.130kg\nTương thích: hầu hết các loại súng"
modscopeaimpointMicroH2,"Kính ngắm phản xạ nhỏ gọn Aimpoint Micro H2"
modscopeaimpointMicroH2Desc,"Trọng lượng: 0.110kg\nTương thích: hầu hết các loại súng"
modscopeaimpointMicroT1,"Kính ngắm phản xạ nhỏ gọn Aimpoint Micro T1"
modscopeaimpointMicroT1Desc,"Trọng lượng: 0.100kg\nTương thích: hầu hết các loại súng"
modscopeBelOMOpk06,"Kính ngắm phản xạ nhỏ gọn BelOMO PK-06"
modscopeBelOMOpk06Desc,"Trọng lượng: 0.090kg\nTương thích: hầu hết các loại súng"
modscopeburrisfastfire,"Kính ngắm phản xạ nhỏ gọn Burris Fastfire 3"
modscopeburrisfastfireDesc,"Trọng lượng: 0.042kg\nTương thích: hầu hết các loại súng"
modscopeSIGromeo4,"Kính ngắm phản xạ nhỏ gọn SIG SAUER ROMEO 4"
modscopeSIGromeo4Desc,"Trọng lượng: 0.104kg\nTương thích: hầu hết các loại súng"
modscopeRMR,"Kính ngắm phản xạ nhỏ gọn Trijicon RMR"
modscopeRMRDesc,"Trọng lượng: 0.042kg\nTương thích: hầu hết các loại súng"
modscopeleupolddeltapoint,"Kính ngắm phản xạ nhỏ gọn Leupold DeltaPoint"
modscopeleupolddeltapointDesc,"Trọng lượng: 0.098kg\nTương thích: hầu hết các loại súng"
modscopeAimPointCompM4,"Kính ngắm phản xạ AimPoint CompM4"
modscopeAimPointCompM4Desc,"Trọng lượng: 0.450kg\nCông thái học:-2\nTương thích: hầu hết các loại súng"
modscopeAimPointPro,"Kính ngắm phản xạ AimPoint PRO"
modscopeAimPointProDesc,"Trọng lượng: 0.350kg\nCông thái học:-2\nTương thích: hầu hết các loại súng"
modscopeaksionEKP818,"Kính ngắm phản xạ Aksion Kobra EKP-8-18"
modscopeaksionEKP818Desc,"Trọng lượng: 0.270kg\nCông thái học:-2\nTương thích: hầu hết các loại súng"
modscopeaksionEKP1s03,"Kính ngắm phản xạ Aksion Kobra EKP-1S-03 ngàm Dovetail"
modscopeaksionEKP1s03Desc,"Trọng lượng: 0.270kg\nCông thái học:-3\nTương thích: các loại súng có ngàm Dovetail"
modscopeaksionEKP802,"Kính ngắm phản xạ Aksion Kobra EKP-8-02 ngàm Dovetail"
modscopeaksionEKP802Desc,"Trọng lượng: 0.270kg\nCông thái học:-3\nTương thích: các loại súng có ngàm Dovetail"
modscopeBelOMOdovetailPKAA,"Kính ngắm phản xạ BelOMO PK-AA ngàm Dovetail"
modscopeBelOMOdovetailPKAADesc,"Trọng lượng: 0.450kg\nCông thái học:-4\nTương thích: các loại súng có ngàm Dovetail"
modscopeElcanSpecterHCO,"Kính ngắm Holographic Elcan Specter HCO"
modscopeElcanSpecterHCODesc,"Trọng lượng: 0.430kg\nCông thái học:-2\nTương thích: hầu hết các loại súng"
modscopeLeapersUTG,"Kính ngắm phản xạ Leapers UTG"
modscopeLeapersUTGDesc,"Trọng lượng: 0.230kg\nCông thái học:-3\nTương thích: hầu hết các loại súng"
modscopeNPZPK1,"Kính ngắm phản xạ NPZ PK-1 Obzor ngàm Dovetail"
modscopeNPZPK1Desc,"Trọng lượng: 0.520kg\nCông thái học:-3\nTương thích: các loại súng có ngàm Dovetail"
modscopeOKP7dovetail,"Kính ngắm phản xạ OKP-7 ngàm Dovetail"
modscopeOKP7dovetailDesc,"Trọng lượng: 0.300kg\nCông thái học:-4\nTương thích: các loại súng có ngàm Dovetail"
modscopeSIGRomeo8T,"Kính ngắm phản xạ SIG Sauer ROMEO8T"
modscopeSIGRomeo8TDesc,"Trọng lượng: 0.390kg\nCông thái học:-3\nTương thích: hầu hết các loại súng"
