Key,File,Type,UsedInMainMenu,english,schinese
inpActToggleWeaponModeName,UI,Controls Dialog,x,Chuyển đổi chế độ vũ khí,
inpActToggleWeaponModeDesc,UI,Controls Dialog,x,"Với vũ khí có nhiều chế độ, nhấn phím này để chuyển đổi qua lại",
inpActToggleFireModeName,UI,Controls Dialog,x,Chuyển đổi chế độ bắn,
inpActToggleFireModeDesc,UI,Controls Dialog,x,"Với vũ khí có nhiều chế độ bắn, nhấn phím này để chuyển đổi qua lại",
inpActToggleZoomLevelName,UI,Controls Dialog,x,Thay đổi mức phóng to,
inpActToggleZoomLevelDesc,UI,Controls Dialog,x,"Chuyển đổi mức phóng to tối thiểu/tối đa trên các ống ngắm hỗ trợ",
inpActPerformAltMeleeName,UI,Controls Dialog,x,Tấn công cận chiến phụ,
inpActPerformAltMeleeDesc,UI,Controls Dialog,x,"Thực hiện đòn cận chiến đặc biệt trên các vũ khí hỗ trợ",
inpActPerformAltInspectName,UI,Controls Dialog,x,Kiểm tra vũ khí (Phụ),
inpActPerformAltInspectDesc,UI,Controls Dialog,x,Phím tắt riêng để kiểm tra. Có thể kích hoạt hoạt ảnh kiểm tra đặc biệt trên các vũ khí hỗ trợ.,
inpActPerformWeaponBlockingName,UI,Controls Dialog,x,Thực hiện đỡ đòn,
inpActPerformWeaponBlockingDesc,UI,Controls Dialog,x,Nhấn giữ để đỡ đòn bằng các vũ khí hỗ trợ.,

ttCurrentFiringMode,UI,Controls Dialog,x,"Chế độ bắn: {0}",
ttFiringModeSemiAuto,UI,Controls Dialog,x,Phát một,
ttFiringModeBurst2,UI,Controls Dialog,x,Loạt 2 viên,
ttFiringModeBurst3,UI,Controls Dialog,x,Loạt 3 viên,
ttFiringModeFullAuto,UI,Controls Dialog,x,Tự động toàn phần,
ttFiringModePumpAction,UI,Controls Dialog,x,Nạp bơm,
ttFiringModeInstant2,UI,Controls Dialog,x,Bắn nhanh 2 viên,
ttFiringModeInstant4,UI,Controls Dialog,x,Bắn nhanh 4 viên,

loadingTipKFKeybinds,UI,Loading Screen,x,"KFlib thêm nhiều phím tắt tùy chỉnh qua Custom Player Action Manager. Bạn có thể tìm thấy trong cài đặt di chuyển bàn phím/chuột.",
loadingTipKFKeybinds_title,UI,Loading Screen,x,Phím tắt tùy chỉnh,
loadingTipKFCameraAnimation,UI,Loading Screen,x,"Một số vũ khí có hoạt ảnh camera đi kèm. Nếu thấy quá rung, bạn có thể chỉnh cường độ trong cài đặt Gears hoặc tùy chỉnh riêng cho từng loại vũ khí khi đang cầm trên tay.",
loadingTipKFCameraAnimation_title,UI,Loading Screen,x,Hoạt ảnh Camera,

statRecoilForceUp,UI,Menu,x,Độ giật dọc,
statRecoilForceBack,UI,Menu,x,Độ giật ngang,
statRecoilForceModifier,UI,Menu,x,Hệ số giảm giật hiện tại,
kflibTabRecoilSettingsName,UI,Menu,x,Cài đặt độ giật,
kflibSettingRecoilCSMName,UI,Menu,x,Hệ số nhạy,
kflibSettingRecoilCSMDesc,UI,Menu,x,Mức độ bù trừ độ nhạy khi kéo chuột chống giật lúc ngắm. Giúp người dùng có độ nhạy ngắm thấp dễ kiểm soát hơn.,
kflibSettingEnablePreRecoilCompensationName,UI,Menu,x,Bật bù giật sớm,
kflibSettingEnablePreRecoilCompensationDesc,UI,Menu,x,Cho phép di chuyển chuột để triệt tiêu độ giật trước khi nó có tác dụng.,
kflibCategoryRecoilCappingName,UI,Menu,x,Cài đặt giới hạn giật,
kflibSettingEnableCapName,UI,Menu,x,Bật giới hạn độ giật,
kflibSettingEnableCapDesc,UI,Menu,x,Cho phép giới hạn độ giật dọc tại một ngưỡng góc nhất định.,
kflibSettingRecoilRemainName,UI,Menu,x,Hệ số giật dư,
kflibSettingRecoilRemainDesc,UI,Menu,x,Hệ số nhân độ giật sau khi đạt đến giới hạn.,
kflibSettingEnableSoftCapName,UI,Menu,x,Bật giới hạn mềm,
kflibSettingEnableSoftCapDesc,UI,Menu,x,"Chuyển đổi dần sang hệ số nhân độ giật trước khi chạm ngưỡng, giúp kiểu giật mượt mà hơn.",
kflibSettingMaxRecoilAngleName,UI,Menu,x,Góc giật tối đa,
kflibSettingMaxRecoilAngleDesc,UI,Menu,x,Góc tối đa cố định để kích hoạt giới hạn. Chỉ dùng khi tắt độ giật động.,
kflibSettingEnableDynamicCapName,UI,Menu,x,Bật giới hạn giật động,
kflibSettingEnableDynamicCapDesc,UI,Menu,x,Kích hoạt giới hạn độ giật sau một số phát bắn nhất định.,
kflibSettingMaxDynamicRecoilCapShotsName,UI,Menu,x,Số phát bắn tối đa,
kflibSettingMaxDynamicRecoilCapShotsDesc,UI,Menu,x,"Kích hoạt giới hạn giật sau số phát bắn chỉ định. Đây là giá trị tương đối dựa trên góc giật ngẫu nhiên mỗi phát.",

kflibTabCameraAnimationSettingsName,UI,Menu,x,Hoạt ảnh Camera,
kflibCategoryCAIDefaultSettingsName,UI,Menu,x,Cài đặt mặc định,
kflibSettingCAIMultiplierName,UI,Menu,x,Hệ số cường độ hoạt ảnh,
kflibSettingCAIMultiplierDesc,UI,Menu,x,"Hệ số cường độ mặc định cho mọi hoạt ảnh camera. Sẽ bị ghi đè bởi cài đặt riêng của vũ khí nếu bật.",
kflibCategoryWeaponOverrideName,UI,Menu,x,Cài đặt vũ khí,
