Key,english


zombieArleneT2,"Arlene T2 "
zombieArleneFeralT2,"Feral Arlene T2 "
zombieArleneRadiatedT2,"Radiated Arlene T2 "
zombieMarleneT2,"Marlene T2 "
zombieMarleneFeralT2,"Feral Marlene T2 "
zombieMarleneRadiatedT2,"Radiated Marlene T2 "
zombiePartyGirlT2,"Party Girl T2 "
zombiePartyGirlFeralT2,"Feral Party Girl T2 "
zombiePartyGirlRadiatedT2,"Radiated Party Girl T2 "
zombieNurseT2,"Nurse T2 "
zombieNurseFeralT2,"Feral Nurse T2 "
zombieNurseRadiatedT2,"Radiated Nurse T2 "
zombieJoeT2,"Joe T2 "
zombieJoeFeralT2,"Feral Joe T2 "
zombieJoeRadiatedT2,"Radiated Joe T2 "
zombieSteveT2,"Steve T2 "
zombieSteveFeralT2,"Feral Steve T2 "
zombieSteveRadiatedT2,"Radiated Steve T2 "
zombieTomClarkT2,"Tom Clark T2 "
zombieTomClarkFeralT2,"Feral Tom Clark T2 "
zombieTomClarkRadiatedT2,"Radiated Tom Clark T2 "
zombieBusinessManT2,"Businessman T2 "
zombieBusinessManFeralT2,"Feral Businessman T2 "
zombieBusinessManRadiatedT2,"Radiated Businessman T2 "
zombieBurntT2,"Burnt T2 "
zombieBurntFeralT2,"Feral Burnt T2 "
zombieBurntRadiatedT2,"Radiated Burnt T2 "
zombieSpiderT2,"Spider T2 "
zombieSpiderFeralT2,"Feral Spider T2 "
zombieSpiderRadiatedT2,"Radiated Spider T2 "
zombieBoeT2,"Boe T2 "
zombieBoeFeralT2,"Feral Boe T2 "
zombieBoeRadiatedT2,"Radiated Boe T2 "
zombieMaleHazmatT2,"Hazmat T2 "
zombieMaleHazmatFeralT2,"Feral Hazmat T2 "
zombieMaleHazmatRadiatedT2,"Radiated Hazmat T2 "
zombieJanitorT2,"Janitor T2 "
zombieJanitorFeralT2,"Feral Janitor T2 "
zombieJanitorRadiatedT2,"Radiated Janitor T2 "
zombieInmateT2,"Inmate T2 "
zombieInmateFeralT2,"Feral Inmate T2 "
zombieInmateRadiatedT2,"Radiated Inmate T2 "
zombieMoeT2,"Moe T2 "
zombieMoeFeralT2,"Feral Moe T2 "
zombieMoeRadiatedT2,"Radiated Moe T2 "
zombieLabT2,"Lab Worker T2 "
zombieLabFeralT2,"Feral Lab Worker T2 "
zombieLabRadiatedT2,"Radiated Lab Worker T2 "
zombieDarleneT2,"Darlene T2 "
zombieDarleneFeralT2,"Feral Darlene T2 "
zombieDarleneRadiatedT2,"Radiated Darlene T2 "
zombieYoT2,"Yo T2 "
zombieYoFeralT2,"Feral Yo T2 "
zombieYoRadiatedT2,"Radiated Yo T2 "
zombieUtilityWorkerT2,"Utility Worker T2 "
zombieUtilityWorkerFeralT2,"Feral Utility Worker T2 "
zombieUtilityWorkerRadiatedT2,"Radiated Utility Worker T2 "
zombieBikerT2,"Biker T2 "
zombieBikerFeralT2,"Feral Biker T2 "
zombieBikerRadiatedT2,"Radiated Biker T2 "
zombieLumberjackT2,"Lumberjack T2 "
zombieLumberjackFeralT2,"Feral Lumberjack T2 "
zombieLumberjackRadiatedT2,"Radiated Lumberjack T2 "
zombieFemaleFatT2,"Big Mama T2 "
