Key,File,Type,UsedInMainMenu,NoTranslate,english

armorFalloutLightArmor,items,Item,,,"Giáp Nhẹ Fallout [e38d23](MS)"
armorFalloutMediumArmor,items,Item,,,"Giáp Trung Fallout [e38d23](MS)"
armorFalloutHeavyArmor,items,Item,,,"Giáp Nặng Fallout [e38d23](MS)"


armorUnisexVaultFOHelmet,items,Clothes,,,"Balo Vault [e38d23](MS)"
armorUnisexVaultFOOutfit,items,Clothes,,,"Đồ Vault [e38d23](MS)"
armorUnisexVaultFOGloves,items,Clothes,,,"Pip-Boy Vault [e38d23](MS)"
armorUnisexVaultFOBoots,items,Clothes,,,"Giày Vault [e38d23](MS)"

armorUnisexVaultFOHelmetDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nBạn sẽ không bao giờ phải bỏ lại thứ gì với chiếc balo Vault Tech này.\nAi mà biết được khi nào 1 mẩu bột ngô lại trở nên hữu dụng cơ chứ\n\n[e38d23]Thưởng Balo:[-] Tăng Sức Chứa.\n\n[e38d23]Thưởng Đủ Bộ:[-] Giá Mua & Bán Tốt Hơn Nhiều."
armorUnisexVaultFOOutfitDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nBộ đồ Vault cực kỳ lý tưởng cho các cuộc 'đàm phán hung hăng' với nhóm dân cư 'phát sáng'.\nGiữ cho gen của bạn 99% không bị nhiễm phóng xạ.\n\n[e38d23]Thưởng Trang Phục:[-] Kháng Sát Thương từ zombie 'phát sáng'.\n\n[e38d23]Thưởng Đủ Bộ:[-] Giá Mua & Bán Tốt Hơn Nhiều."
armorUnisexVaultFOGlovesDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nSao phải nhắm bắn khi bạn đã có thuật toán?\nHệ thống VATS của bạn cung cấp một % bỏ qua kỹ năng và giáng một đòn chí mạng tàn khốc.\n\n[e38d23]Thưởng Pip-Boy:[-] % tung Đòn chí mạng tàn khốc\n\n[e38d23]Thưởng Đủ Bộ:[-] Giá Mua & Bán Tốt Hơn Nhiều."
armorUnisexVaultFOBootsDesc,items,Clothes,,,"[e38d23]Giáp Nhẹ[-]\n\nNhiều năm hít thở không khí lọc và ăn bột đậu nành chế biến cuối cùng cũng có tác dụng.\nBạn ít 'phân hủy sinh học' hơn so với cư dân bản địa trung bình.\n\n[e38d23]Thưởng Giày:[-] Thưởng Máu Tối Đa & Giáp.\n\n[e38d23]Thưởng Đủ Bộ:[-] Giá Mua & Bán Tốt Hơn Nhiều."

armorUnisexBOSFOHelmet,items,Clothes,,,"Mũ Brotherhood of Steel CCA [e38d23](MS)"
armorUnisexBOSFOOutfit,items,Clothes,,,"Đồ Brotherhood of Steel [e38d23](MS)"
armorUnisexBOSFOGloves,items,Clothes,,,"Găng Tay Brotherhood of Steel [e38d23](MS)"
armorUnisexBOSFOBoots,items,Clothes,,,"Giày Brotherhood of Steel [e38d23](MS)"


armorUnisexNukaGirlFOHelmet,items,Clothes,,,"Mũ Nuka Girl [e38d23](MS)"
armorUnisexNukaGirlFOOutfit,items,Clothes,,,"Đồ Nuka Girl [e38d23](MS)"
armorUnisexNukaGirlFOGloves,items,Clothes,,,"Găng Tay Nuka Girl [e38d23](MS)"
armorUnisexNukaGirlFOBoots,items,Clothes,,,"Giày Nuka Girl [e38d23](MS)"

armorUnisexNukaGirlFOOutfit_Cherry,items,Clothes,,,"Đồ Nuka Girl Cherry [e38d23](MS)"
armorUnisexNukaGirlFOOutfit_Quantum,items,Clothes,,,"Đồ Nuka Girl Quantum [e38d23](MS)"

armorUnisexNukaGirlFOHelmetDesc,items,Clothes,,,"[e38d23]Giáp Trung[-]\n\nGiữ cho não của bạn ở nhiệt độ hoàn hảo để nhận tối đa XP.\n(Khuyến cáo: Tập đoàn Nuka-Cola không chịu trách nhiệm nếu bạn bị tê cóng từ cổ trở xuống.)\n\n[e38d23]Thưởng Mũ:[-] Thưởng Kinh Nghiệm & Kháng Nhiệt.\n\n[e38d23]Thưởng Đủ Bộ:[-] Tăng Sức Bật Nhảy & Tăng Khoảng Cách Rơi An Toàn."
armorUnisexNukaGirlFOOutfitDesc,items,Clothes,,,"[e38d23]Giáp Trung[-]\n\nĐược dệt từ sợi Spandex độc quyền của Nuka-Cola, bộ đồ sành điệu này sẽ làm kẻ thù bối rối và ngăn ngừa vết cắn của zombie.\n(Khuyến cáo: Vui lòng không thử nghiệm với zombie thật.)\n\n[e38d23]Thưởng Trang Phục:[-] Thưởng Giáp.\n\n[e38d23]Thưởng Đủ Bộ:[-] Tăng Sức Bật Nhảy & Tăng Khoảng Cách Rơi An Toàn."
armorUnisexNukaGirlFOGlovesDesc,items,Clothes,,,"[e38d23]Giáp Trung[-]\n\nNghiền nát đối thủ bằng Sức mạnh Nuka và ĐÁNH BAY chúng ra ngoài quỹ đạo!.\n(Khuyến cáo: Tác động lên các cá thể nhiễm phóng xạ sẽ làm gián đoạn cuộn dây điện từ và làm mất hiệu lực bảo hành.)\n\n[e38d23]Thưởng Găng Tay:[-] Thưởng Lớn Sát Thương lên mọi sinh vật ngoại trừ Zombie Phóng Xạ.\n\n[e38d23]Thưởng Đủ Bộ:[-] Tăng Sức Bật Nhảy & Tăng Khoảng Cách Rơi An Toàn."
