Key,File,Type,UsedInMainMenu,NoTranslate,english

zombieClownSonja,entityclasses,Entity,,,"Penny"
zombieClownSonja_Feral,entityclasses,Entity,,,"Penny Hoang Dã"
zombieClownSonja_Radiated,entityclasses,Entity,,,"Penny Phóng Xạ"
zombieClownSonja_Charged,entityclasses,Entity,,,"Penny Tích Điện"
zombieClownSonja_Infernal,entityclasses,Entity,,,"Penny Địa Ngục"
zombieClownSonja_Tainted,entityclasses,Entity,,,"Penny Biến Chất"

zombieTiffanySonja,entityclasses,Entity,,,"Tiffany"
zombieTiffanySonja_Feral,entityclasses,Entity,,,"Tiffany Hoang Dã"
zombieTiffanySonja_Radiated,entityclasses,Entity,,,"Tiffany Phóng Xạ"
zombieTiffanySonja_Charged,entityclasses,Entity,,,"Tiffany Tích Điện"
zombieTiffanySonja_Infernal,entityclasses,Entity,,,"Tiffany Địa Ngục"
zombieTiffanySonja_Tainted,entityclasses,Entity,,,"Tiffany Biến Chất"

zombieHeavyMetalSonja,entityclasses,Entity,,,"Heavy Metal"
zombieHeavyMetalSonja_Feral,entityclasses,Entity,,,"Heavy Metal Hoang Dã"
zombieHeavyMetalSonja_Radiated,entityclasses,Entity,,,"Heavy Metal Phóng Xạ"
zombieHeavyMetalSonja_Charged,entityclasses,Entity,,,"Heavy Metal Tích Điện"
zombieHeavyMetalSonja_Infernal,entityclasses,Entity,,,"Heavy Metal Địa Ngục"
zombieHeavyMetalSonja_Tainted,entityclasses,Entity,,,"Heavy Metal Biến Chất"

zombieDoctorZedSonja,entityclasses,Entity,,,"Bác Sĩ Zed"
zombieDoctorZedSonja_Feral,entityclasses,Entity,,,"Bác Sĩ Zed Hoang Dã"
zombieDoctorZedSonja_Radiated,entityclasses,Entity,,,"Bác Sĩ Zed Phóng Xạ"
zombieDoctorZedSonja_Charged,entityclasses,Entity,,,"Bác Sĩ Zed Tích Điện"
zombieDoctorZedSonja_Infernal,entityclasses,Entity,,,"Bác Sĩ Zed Địa Ngục"
zombieDoctorZedSonja_Tainted,entityclasses,Entity,,,"Bác Sĩ Zed Biến Chất"

zombieEgyptMummySonja,entityclasses,Entity,,,"Nefertari"
zombieEgyptMummySonja_Feral,entityclasses,Entity,,,"Nefertari Hoang Dã"
zombieEgyptMummySonja_Radiated,entityclasses,Entity,,,"Nefertari Phóng Xạ"
zombieEgyptMummySonja_Charged,entityclasses,Entity,,,"Nefertari Tích Điện"
zombieEgyptMummySonja_Infernal,entityclasses,Entity,,,"Nefertari Địa Ngục"
zombieEgyptMummySonja_Tainted,entityclasses,Entity,,,"Nefertari Biến Chất"

zombieJasonSonja,entityclasses,Entity,,,"Jason"
zombieJasonSonja_Feral,entityclasses,Entity,,,"Jason Hoang Dã"
zombieJasonSonja_Radiated,entityclasses,Entity,,,"Jason Phóng Xạ"
zombieJasonSonja_Charged,entityclasses,Entity,,,"Jason Tích Điện"
zombieJasonSonja_Infernal,entityclasses,Entity,,,"Jason Địa Ngục"
zombieJasonSonja_Tainted,entityclasses,Entity,,,"Jason Biến Chất"

zombieMichaelSonja,entityclasses,Entity,,,"Michael Myers"
zombieMichaelSonja_Feral,entityclasses,Entity,,,"Michael Myers Hoang Dã"
zombieMichaelSonja_Radiated,entityclasses,Entity,,,"Michael Myers Phóng Xạ"
zombieMichaelSonja_Charged,entityclasses,Entity,,,"Michael Myers Tích Điện"
zombieMichaelSonja_Infernal,entityclasses,Entity,,,"Michael Myers Địa Ngục"
zombieMichaelSonja_Tainted,entityclasses,Entity,,,"Michael Myers Biến Chất"

zombieThrillerSonja,entityclasses,Entity,,,"Thriller"
zombieThrillerSonja_Feral,entityclasses,Entity,,,"Thriller Hoang Dã"
zombieThrillerSonja_Radiated,entityclasses,Entity,,,"Thriller Phóng Xạ"
zombieThrillerSonja_Charged,entityclasses,Entity,,,"Thriller Tích Điện"
zombieThrillerSonja_Infernal,entityclasses,Entity,,,"Thriller Địa Ngục"
zombieThrillerSonja_Tainted,entityclasses,Entity,,,"Thriller Biến Chất"

zombieDemonDollSonja,entityclasses,Entity,,,"Búp Bê Quỷ Ám"
zombieDemonDollSonja_Feral,entityclasses,Entity,,,"Búp Bê Quỷ Ám Hoang Dã"
zombieDemonDollSonja_Radiated,entityclasses,Entity,,,"Búp Bê Quỷ Ám Phóng Xạ"
zombieDemonDollSonja_Charged,entityclasses,Entity,,,"Búp Bê Quỷ Ám Tích Điện"
zombieDemonDollSonja_Infernal,entityclasses,Entity,,,"Búp Bê Quỷ Ám Địa Ngục"
zombieDemonDollSonja_Tainted,entityclasses,Entity,,,"Búp Bê Quỷ Ám Biến Chất"
