gunBotRoboticsParts,items,Gun,,,Robotics Parts,,Robotikteile,Partes de robótica,Pièces de robotique,Parti robotiche,ロボットパーツ,로보틱 터렛 부품,Robotyczne części,Peças de Robótica,Части роботизированной пушки,Robot Parçaları,机器人零件,機器人零件
gunBotT1JunkSledge,items,Gun,,,Robotic Sledge,,Robotik-Hammer,Mazo robótico,Marteau robotique,Martello robotico,ロボットスレッジ,로보틱 슬레지,Robotyczny młot,Marreta Robótica,Роботизированный молот,Robot Kızak,机器人大锤,機器人大錘
gunBotT1JunkSledgeDesc,items,Gun,,,You may not be good at punching but you have the technology.\nYou can also deploy this on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,"Du schlägst vielleicht nicht so fest zu, aber du hast die nötige Technologie.\nKann mit der sekundären Aktion auf dem Boden stationiert werden.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Robotikteilen zerlegt werden.","Tal vez no seas bueno con los golpes, pero cuentas con tecnología.\nTambién puedes desplegar esto en el suelo con la acción secundaria.\n\nSe repara con un kit de reparación.\nDesguázalo para conseguir partes de robótica.","Vos coups de poing manquent peut-être d'efficacité, mais la technologie est de votre côté.\nVous pouvez aussi déployer ceci sur le sol en utilisant l'action secondaire.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de robotique.","Se non sai fare a pugni, puoi ricorrere alla tecnologia.\nPuoi anche collocarlo sul terreno mediante l'azione secondaria.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti robotiche.",あなたのパンチは強くないかもしれませんが、化学の技術は持ち合わせています。\n第二アクションで地面に展開することも可能です。\n\n修理キットで修理可能。\n解体するとロボットパーツに。,"주먹질에 뛰어나지 않아도, 기술이 있으면 문제 없습니다.\n보조 행동으로 바닥에 설치할 수도 있습니다.\n\n수리 키트로 수리할 수 있습니다.\n로보틱 부품으로 분해됩니다.","Może nie potrafisz dobrze przywalić piąchą, ale masz za to technologię.\nUżywając akcji pomocniczej, możesz rozstawić to na ziemi.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZezłomowanie zapewni robotyczne części.","Você pode não ser bom em perfurar, mas possui a tecnologia.\nVocê também pode implantar no terreno usando a ação secundária.\n\nConserte com um kit de reparos.\nRecicle para obter peças de robótica.","Может быть, вы не сильны в кулачном бою, зато разбираетесь в технике.\nЕго можно установить на землю с помощью дополнительного действия.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на роботизированные части.",Yumruk atmada iyi olmayabilirsin ama teknolojin var.\nAyrıca İkincil eylem tuşunu kullanarak bunu yere konuşlandırabilirsin.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Robot Parçaları elde edersin.,你可能不擅长打拳，但你有技术。\n你也可使用辅助动作将它安装在地面上。\n\n可使用维修工具修理。\n可分解为机器人零件。,你可能不擅長打拳，但是你有的是技術。\n你可以使用輔助動作將其部署在地面上。\n\n維修需使用維修工具包。\n報廢為機器人零件。
gunBotT1JunkSledgeSchematic,items,Gun,,,Robotic Sledge Schematic,,Bauplan – Robotik-Hammer,Esquema de mazo robótico,Schéma de marteau robotique,Schema del martello robotico,設計図「ロボットスレッジ」,로보틱 슬레지 도면,Robotyczny młot — schemat,Diagrama de Marreta Robótica,Схема роботизированного молота,Robot Kızak Şeması,机器人大锤设计图,機器人大錘原理圖
gunBotT2JunkTurret,items,Gun,,,Robotic Turret,,Robotik-Geschützturm,Torreta robótica,Tourelle robotique,Torretta robotica,ロボット砲台,로보틱 터렛,Robotyczna wieżyczka,Torreta Robótica,Роботизированная пушка,Robot Taret,机器人炮塔,機器人炮塔
gunBotT2JunkTurretDesc,items,Gun,,,This contraption can be fired and reloaded like a gun. It uses Robotic Turret Ammo for ammunition.\nYou can also deploy it on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,Diese Vorrichtung kann wie eine Waffe abgefeuert und nachgeladen werden. Verwendet Schrottgeschützturm-Munition.\nKann mit der sekundären Aktion auf dem Boden stationiert werden.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Robotikteilen zerlegt werden.,Este aparato se puede disparar y recargar como un arma. Utiliza como munición la munición para torretas robóticas.\nTambién puedes desplegarla en el suelo con la acción secundaria.\n\nSe repara con un kit de reparación.\nDesguázala para conseguir partes de torreta robótica.,Cet engin peut être utilisé et rechargé comme un pistolet. Il fonctionne avec les munitions de la tourelle robotique.\nVous pouvez aussi le déployer sur le sol en utilisant l'action secondaire.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de robotique.,Questo aggeggio può essere usato e ricaricato come un'arma. Usa munizioni per la torretta robotica.\nPuoi anche collocarlo sul terreno mediante l'azione secondaria.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti robotiche.,銃のように発砲やリロードができる珍妙な装置です。弾薬としてロボット砲台用弾薬を使用します。\n第二アクションで地面に展開することも可能です。\n\n修理キットで修理可能。\n解体するとロボットパーツに。,이 장치는 총처럼 발사하고 재장전할 수 있습니다. 로보틱 터렛 탄약을 사용합니다.\n보조 행동을 사용해 바닥에 설치할 수도 있습니다.\n\n수리 키트로 수리할 수 있습니다.\n로보틱 터렛 부품으로 분해됩니다.,"Strzela i przeładowuje się jak zwykła broń palna. Używa amunicji do robotycznej wieżyczki.\nUżywając akcji pomocniczej, możesz rozstawić wieżyczkę na ziemi.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni robotyczne części.",Esta engenhoca pode ser disparada e recarregada feito uma arma. Usa munição de Torreta robótica.\nVocê pode posicioná-la no chão usando a ação secundária.\n\nConserte com o kit de reparos.\nRecicle para obter peças de robótica.,Из этой штуки можно стрелять. Перезаряжается как винтовка. В качестве боеприпасов использует патроны для роботизированной пушки.\nМожно установить на землю с помощью дополнительного действия.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части роботизированной пушки.,Bu tertibatla ateş edilebilir ve silah gibi doldurulur. Mühimmat olarak Robot Taret Mühimmatı kullanır.\nAyrıca İkincil eylem tuşunu kullanarak yere koyabilirsin.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Robot Parçaları elde edersin.,这种装置可以像枪一样发射和装填。使用机器人炮塔弹药作为其弹药。\n你也可使用辅助动作将其安装在地面上。\n\n可使用维修工具修理。\n可分解为机器人炮塔零件。,這種新玩意兒可以像槍一樣發射和裝彈。它使用機器人炮塔彈藥作爲子彈。\n你可以使用輔助動作將其部署在地面上。\n\n維修需使用維修工具包。\n報廢為機器人零件。
gunBotT2JunkTurretSchematic,items,Gun,,,Robotic turret Schematic,,Bauplan – Robotik-Geschützturm,Esquema de torreta robótica,Schéma de tourelle à ferraille,Schema della torretta robotica,設計図「ロボット砲台」,로보틱 터렛 도면,Robotyczna wieżyczka — schemat,Diagrama de torreta robótica,Схема роботизированной пушки,Robot taret Şeması,机器人炮塔设计图,機器人炮塔原理圖
gunBotT3JunkDrone,items,Gun,,,Robotic Drone,,Robotik-Drohne,Dron robótico,Drone de ferraille,Drone robotico,ロボットドローン,로보틱 드론,Robotyczny dron,Drone Robótico,Роботизированный дрон,Robot Drone,机器人无人机,機器人無人機
gunBotT3JunkDroneDesc,items,Gun,,,"Crafted from robotic parts and scrap, the robotic drone is the ultimate companion in the apocalypse. It can heal you and carry some items.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.",,Die aus Robotikteilen und Schrott gefertigte Robotik-Drohne ist der ultimative Begleiter in der Apokalypse. Sie kann dich heilen und einige Gegenstände tragen.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Robotikteilen zerlegt werden.,"Fabricado a partir de partes de robótica y chatarra, el dron robótico es el mejor complemento durante el apocalipsis. Puede curarte y llevar algunos objetos.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de robótica.","Fabriqué à partir de pièces de robotique recyclées, le drone robotique est le compagnon ultime durant l'apocalypse. Il peut vous soigner et porter certains objets.\n\nSe répare avec un kit de réparation\nSe recycle en pièces de robotique.","Creato da parti e rottami robotici, il drone robotico è il miglior compagno durante l'apocalisse. Può guarirti e aiutarti a trasportare gli oggetti.\n\nSi ripara con una cassetta degli attrezzi.\nLa rottamazione produce parti robotiche.",ロボットパーツと鉄くずから作られたロボットドローンは、終末世界での究極のコンパニオンです。あなたを治療したり、アイテムを運ぶことができます。\n修理キットで修理可能。\n解体するとロボットパーツに。,"로보틱 부품과 잡동사니로 제작한 로보틱 드론은 아포칼립스 시기 최고의 동반자입니다. 회복도 해주고, 싸움도 해주고, 짐도 들어줍니다.\n\n수리 키트로 수리할 수 있습니다.\n분해하여 로보틱 부품을 받을 수 있습니다.","Robotyczny dron, wytwarzany z robotycznych części i złomu, to najlepszy towarzysz po apokalipsie. Może cię wyleczyć, pomóc w walce i nosić trochę przedmiotów.\n\nNaprawiaj za pomocą zestawu naprawczego.\nZezłomowanie zapewni robotyczne części.","Fabricado com peças de sucatas e robóticas, o drone robótico é o melhor companheiro no apocalipse. Pode curar e carregar alguns itens.\n\nConserte com o kit de reparos.\nRecicle para obter peças de robótica.",Собранный из частей робототехники и металлолома роботизированный дрон — идеальный напарник во время зомби-апокалипсиса. Он может лечить вас и переносить разные предметы.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части робототехники.,Robot parçaları ve hurdadan üretilen robot drone kıyametteki en iyi dostundur. Seni iyileştirebilir ve bazı öğeleri taşıyabilir.\n\nOnarım kiti ile onar.\nHurdaya çıkardığında Robot Parçaları elde edersin.,由机器人零件和废料制成的“机器人无人机”是末日的终极伴侣。它可以治疗你，还能携带一些物品。\n\n可用维修工具修理。\n可分解为机器人零件。,這款由機器人零件與廢料製成的機器人無人機是末日的終極良伴。它可以治療你，還能攜帶物品。\n\n維修需使用維修工具包。\n報廢為機器人零件。
gunBotT3JunkDroneSchematic,items,Gun,,,Robotic Drone Schematic,,Bauplan – Robotik-Drohne,Esquema de dron robótico,Schéma de drone de ferraille,Schema del drone robotico,設計図「ロボットドローン」,로보틱 드론 도면,Robotyczny dron — schemat,Diagrama de drone robótico,Схема роботизированного дрона,Robot Drone Şeması,机器人无人机设计图,機器人無人機原理圖
gunBowT0PrimitiveBow,items,Gun,,,Primitive Bow,,Primitiver Bogen,Arco primitivo,Arc primitif,Arco rudimentale,粗末な弓,원시적 활,Prymitywny łuk,Arco primitivo,Простейший лук,İlkel Yay,传统弓,原始弓
