Key,english

zombieArleneT2,"Arlene T2"
zombieArleneFeralT2,"Arlene Hoang Dã T2"
zombieArleneRadiatedT2,"Arlene Phóng Xạ T2"
zombieMarleneT2,"Marlene T2"
zombieMarleneFeralT2,"Marlene Hoang Dã T2"
zombieMarleneRadiatedT2,"Marlene Phóng Xạ T2"
zombiePartyGirlT2,"Gái Tiệc Tùng T2"
zombiePartyGirlFeralT2,"Gái Tiệc Tùng Hoang Dã T2"
zombiePartyGirlRadiatedT2,"Gái Tiệc Tùng Phóng Xạ T2"
zombieNurseT2,"Y Tá T2"
zombieNurseFeralT2,"Y Tá Hoang Dã T2"
zombieNurseRadiatedT2,"Y Tá Phóng Xạ T2"
zombieJoeT2,"Joe T2"
zombieJoeFeralT2,"Joe Hoang Dã T2"
zombieJoeRadiatedT2,"Joe Phóng Xạ T2"
zombieSteveT2,"Steve T2"
zombieSteveFeralT2,"Steve Hoang Dã T2"
zombieSteveRadiatedT2,"Steve Phóng Xạ T2"
zombieTomClarkT2,"Tom Clark T2"
zombieTomClarkFeralT2,"Tom Clark Hoang Dã T2"
zombieTomClarkRadiatedT2,"Tom Clark Phóng Xạ T2"
zombieBusinessManT2,"Doanh Nhân T2"
zombieBusinessManFeralT2,"Doanh Nhân Hoang Dã T2"
zombieBusinessManRadiatedT2,"Doanh Nhân Phóng Xạ T2"
zombieBurntT2,"Xác Cháy T2"
zombieBurntFeralT2,"Xác Cháy Hoang Dã T2"
zombieBurntRadiatedT2,"Xác Cháy Phóng Xạ T2"
zombieSpiderT2,"Zombie Nhện T2"
zombieSpiderFeralT2,"Zombie Nhện Hoang Dã T2"
zombieSpiderRadiatedT2,"Zombie Nhện Phóng Xạ T2"
zombieBoeT2,"Boe T2"
zombieBoeFeralT2,"Boe Hoang Dã T2"
zombieBoeRadiatedT2,"Boe Phóng Xạ T2"
zombieMaleHazmatT2,"Hazmat T2"
zombieMaleHazmatFeralT2,"Hazmat Hoang Dã T2"
zombieMaleHazmatRadiatedT2,"Hazmat Phóng Xạ T2"
zombieJanitorT2,"Lao Công T2"
zombieJanitorFeralT2,"Lao Công Hoang Dã T2"
zombieJanitorRadiatedT2,"Lao Công Phóng Xạ T2"
zombieInmateT2,"Tù Nhân T2"
zombieInmateFeralT2,"Tù Nhân Hoang Dã T2"
zombieInmateRadiatedT2,"Tù Nhân Phóng Xạ T2"
zombieMoeT2,"Moe T2"
zombieMoeFeralT2,"Moe Hoang Dã T2"
zombieMoeRadiatedT2,"Moe Phóng Xạ T2"
zombieLabT2,"Nhân Viên Thí Nghiệm T2"
zombieLabFeralT2,"Nhân Viên Thí Nghiệm Hoang Dã T2"
zombieLabRadiatedT2,"Nhân Viên Thí Nghiệm Phóng Xạ T2"
zombieDarleneT2,"Darlene T2"
zombieDarleneFeralT2,"Darlene Hoang Dã T2"
zombieDarleneRadiatedT2,"Darlene Phóng Xạ T2"
zombieYoT2,"Yo T2"
zombieYoFeralT2,"Yo Hoang Dã T2"
zombieYoRadiatedT2,"Yo Phóng Xạ T2"
zombieUtilityWorkerT2,"Thợ Bảo Trì T2"
zombieUtilityWorkerFeralT2,"Thợ Bảo Trì Hoang Dã T2"
zombieUtilityWorkerRadiatedT2,"Thợ Bảo Trì Phóng Xạ T2"
zombieBikerT2,"Biker T2"
zombieBikerFeralT2,"Biker Hoang Dã T2"
zombieBikerRadiatedT2,"Biker Phóng Xạ T2"
zombieLumberjackT2,"Tiều Phu T2"
zombieLumberjackFeralT2,"Tiều Phu Hoang Dã T2"
zombieLumberjackRadiatedT2,"Tiều Phu Phóng Xạ T2"
zombieFemaleFatT2,"Big Mama T2"
zombieFemaleFatFeralT2,"Big Mama Hoang Dã T2"
zombieFemaleFatRadiatedT2,"Big Mama Phóng Xạ T2"
zombieFatHawaiianT2,"Du Khách T2"
zombieFatHawaiianFeralT2,"Du Khách Hoang Dã T2"
