perkFortitudeMasteryDesc,progression,perk For,,,Master Fortitude Skills,,Meisterhafte Fertigkeiten der Standhaftigkeit,Domina las habilidades de fortaleza.,Maîtrisez les compétences de courage.,Padroneggia le abilità di resilienza,忍耐スキルをマスターします,불굴의 정신 스킬 마스터,Umiejętności mistrzostwa hartu,Domine as habilidades de Robustez.,Освойте навыки стойкости,Uzman Dayanma Becerileri,强健技能大师,精通所有堅韌技能
perkFortitudeMasteryName,progression,perk For,,,Fortitude Mastery,,Meisterhafte Standhaftigkeit,Dominio de la fortaleza,Maîtrise du courage,Padronanza della resilienza,忍耐マスタリー,불굴의 정신 마스터리,Mistrzostwo hartu,Domínio de Robustez,Мастерство стойкости,Dayanma Uzmanlığı,强健专精,堅韌精通
perkFortitudeMasteryRank1Desc,progression,perk For,,,Bleed Stopper,,Blutungstopper,Detención de la hemorragia,Arrêt du saignement,Coagulare il sangue,止血剤,출혈 중단,Zatrzymanie krwawienia,Parar Sangramento,Остановка крови,Kanama Durduran,止血者,止血者
perkFortitudeMasteryRank1LongDesc,progression,perk For,,,Killing an enemy will instantly stop a bleeding injury without using a bandage.,,"Wenn du einen Feind tötest, wird sofort ohne Verband eine Blutung gestillt.",Matar a un enemigo detendrá instantáneamente una herida con hemorragia sin necesidad de utilizar un vendaje.,Tuer un ennemi arrêtera immédiatement un saignement sans avoir à utiliser un bandage.,"Uccidendo un nemico, una ferita smetterà istantaneamente di sanguinare senza dover usare una benda.",敵を殺すと、包帯を使わなくても流血を即座に止めることができます。,적을 처치하면 붕대를 쓰지 않아도 출혈 부상의 출혈이 즉시 중단됩니다.,Zabicie wroga natychmiast zatrzyma krwawienie bez użycia bandaża.,Abater um inimigo para instantaneamente um sangramento sem precisar fazer um curativo.,Убийство врага мгновенно остановит кровотечение из повреждения даже без бинта.,"Bir düşman öldürmek, bandaj kullanmaya gerek kalmadan kanayan yarayı anında durdurur.",击杀敌人可立即停止流血伤害，无需使用绷带。,擊殺敵人時，立即停止出血狀態，無需繃帶。
perkFortitudeMasteryRank2Desc,progression,perk For,,,Antibodies,,Antikörper,Anticuerpos,Anticorps,Anticorpi,抗体,항체,Przeciwciała,Anticorpos,Антитела,Antikorlar,抗体,抗體
perkFortitudeMasteryRank2LongDesc,progression,perk For,,,Consuming items that cure infection or after recovering from an infection will give you 2 real world hours of infection immunity.,,"Wenn du Gegenstände konsumierst, die eine Infektion heilen, oder wenn du dich von einer Infektion erholst, erhältst du 2 Stunden Echtzeit Infektionsimmunität.","Luego de consumir objetos que curan infecciones o de recuperarte de una infección, eres inmune a futuras infecciones durante 2 horas del mundo real.",Consommer des objets qui guérissent une infection ou récupérer d'une infection vous octroie une immunité contre les infections pendant 2 heures dans le monde réel.,"Dopo aver consumato oggetti per curare un'infezione o dopo la guarigione da un'infezione, sei immune a ulteriori infezioni per 2 ore nel mondo reale.",感染症を治すアイテムを使用するか、感染症から回復すると、現実世界の時間で2時間の感染症への免疫が得られます。,감염 치료 또는 회복 아이템을 사용하면 실제 시간 2시간 동안 감염 면역을 획득합니다.,"Gdy zażyjesz leki na infekcję lub naturalnie z niej wyzdrowiejesz, zyskasz odporność na kolejne infekcje przez 2 rzeczywiste godziny.",Você receberá 2 horas do mundo real de imunidade à infecção no jogo ao consumir itens que curam infecção ou ao se recuperar de uma.,"Использовав предметы для лечения инфекции или выздоровев после инфекции, вы получаете иммунитет к заражению на 2 реальных часа.",Enfeksiyonu iyileştiren öğeler tükettikten veya bir enfeksiyonu atlattıktan sonra 2 gerçek dünya saati boyunca enfeksiyon bağışıklığı kazanırsın.,使用可治愈感染的物品或在感染痊愈后，你将获得 2 个小时（现实世界时间）的感染免疫。,使用治療感染的物品或從感染中康復後，將獲得現實時間 2 小時的感染免疫。
perkFortitudeMasteryRank3Desc,progression,perk For,,,The Dentist,,Der Zahnarzt,El dentista,Dentiste,Il dentista,歯科医,치과의사,Dentysta,Dentista,Стоматолог,Dişçi,牙医,牙醫
perkFortitudeMasteryRank3LongDesc,progression,perk For,,,"Turns out the undead have more than just bad breath, they've got valuable dental work too!\nFist weapons have a 10% chance to gain silver or gold teeth fillings from zombie kills.",,"Wie sich herausstellt, haben die Zombies nicht nur schlechten Atem, sondern auch noch wertvolle Zähne!\nFaustwaffen haben eine Chance von 10 %, Silber- oder Goldzähne von getöteten Zombies zu erhalten.","Resulta que los no muertos tienen más que solo mal aliento, ¡también tienen valiosos trabajos dentales!\nLas armas de puño tienen un 10 % de probabilidad de obtener empastes de dientes de plata u oro al matar zombis.","Les morts-vivants n'ont pas seulement mauvaise haleine, ils ont aussi des prothèses dentaires précieuses !\nEn éliminant des zombies avec des armes pour les poings, vous avez 10 % de chance d'obtenir des plombages en or ou en argent.","A quanto pare, i non morti non hanno solo l'alito pesante, ma anche dei preziosi impianti dentali!\nLe armi che utilizzano i pugni hanno un 10% di probabilità di far ottenere otturazioni dentali in oro o argento quando uccidi uno zombie.",素手やナックルで敵を殺すと、10%の確率で金塊を獲得します。,"언데드는 입냄새만 나쁜 게 아니라, 치과 치료도 필요하다는 게 밝혀졌습니다!\n주먹 무기로 좀비 처치 시 10% 확률로 은 또는 금니를 받습니다.","Okazuje się, że nieumarli mają nie tylko nieświeży oddech, lecz także cenne plomby!\nBroń pięściowa ma 10% szansy na zdobycie srebrnych lub złotych plomb po zabiciu zombie.","Parece que os mortos-vivos não têm só mau hálito, eles têm dentes impecáveis também!\nArmas de punho têm 10% de chance de obter dentes de prata ou de ouro ao abater zumbis.","Оказывается, у нежити во рту не только вонища, но и ценности!\nУ кастетов есть шанс 10% выбить серебряные и золотые зубы после убийств зомби.","Görünüşe göre hortlakların ağzında sadece iğrenç bir koku yok, dişlerinde işe yarar şeyler de var!\nYumrukla kullanılan silahlar, zombi öldürmelerinden %10 ihtimalle gümüş veya altın diş dolgusu kazandırır.",事实证明，丧尸不光有口臭，还有值钱的牙口！\n使用拳头武器击杀僵尸时有 10% 几率获得银牙或金牙填充物。,原來殭屍不只有口臭，還有值錢的牙套！\n使用拳套武器擊殺殭屍時，有 10% 機率獲得金或銀牙填充物。
perkFortitudeMasteryRank4Desc,progression,perk For,,,Resilience,,Widerstandskraft,Resiliencia,Résilience,Resistenza,耐久力,회복력,Niesamowita odporność,Resiliência,Запас прочности,Dirençlilik,韧性,堅韌不拔
perkFortitudeMasteryRank4LongDesc,progression,perk For,,,Nothing can shake your will to survive.\nPermanently adds 50 max health.,,Nichts kann deinen Überlebenswillen brechen.\nErhöht max. Gesundheit permanent um 50.,Nada puede quebrantar tu voluntad de sobrevivir.\nAgrega de forma permanente 50 puntos de salud máx.,Rien ne peut ébranler votre volonté de survivre.\nAugmente définitivement votre santé max. de 50 points.,Nulla può scalfire la tua voglia di sopravvivere.\nAggiunge in modo permanente 50 di salute massima.,あなたの生き延びようとする意志を揺るがすものは何もありません。\n最大体力50増加。,무엇도 생존을 위한 당신의 의지를 흔들지 못합니다.\n최대 스태미너가 영구적으로 50 올라갑니다.,Nic nie jest w stanie złamać twojej woli przetrwania.\nNa stałe dodaje 50 pkt do maksymalnego zdrowia.,Nada consegue abalar sua vontade de sobreviver.\nAdiciona 50 ao máximo de vida.,Ничто не поколеблет вашу волю к жизни.\nНавсегда добавляет 50 к макс. здоровью.,Hayatta kalma isteğini hiçbir şey sarsamaz.\nMaksimum sağlığa kalıcı olarak 50 puan ekler.,没有什么能动摇你生存的意志。\n永久增加 50 点最大生命值。,沒有任何事能動搖你的求生意志。\n最大生命值永久增加 50 點。
perkFortitudeMasteryRank5Desc,progression,perk For,,,Unbreakable,,Unerschütterlich,Indestructible,Incassable,Indistruttibile,破壊不可能,파괴 불가,Niezłomny,Inquebrável,Несгибаемость,Yıkılmaz,坚不可摧,不屈戰魂
